Date,Farm,Family.abbr ,Abundance,Num.of.capsule,Notes,d13C,C_amt,d15N,N_amt,Total_amt,Trophic
20180402,MO-1,Str,1,1,,,,,,,
20180402,MO-1,Chl,2,0,,,,,,,
20180402,MO-1,Mus,9,2,,,,,,,
20180402,MO-1,Del,16,2,,,,,,,
20180402,MO-1,Sci,10,1,,,,,,,
20180402,MO-1,Tri,1,0,,,,,,,
20180402,MO-1,Cic,8,3,Stage:,Abundance:,Capsule:,,,,
20180402,MO-1,Geo,4,1,Seedling,3932,87,,,,
20180402,MO-1,Chi,10,2,Tillering,1343,200,,,,
20180402,MO-1,Ter,1,0,Heading,691,116,,,,
20180402,MO-1,Ela,1,0,Ripening,561,101,,,,
20180402,MO-2,Sci,1,1,,,,,,,
20180402,MO-2,Chi,20,1,,,,,,,
20180402,MO-3,Chi,6,1,,,,,,,
20180402,MC-1,Sta,1,1,,,,,,,
20180402,MC-1,Chi,100,4,,,,,,,
20180402,MC-1,Ter,5,2,,,,,,,
20180402,MC-1,Cic,8,1,,,,,,,
20180402,MC-1,Sci,4,2,,,,,,,
20180402,MC-1,Pyl,1,1,,,,,,,
20180402,MC-2,Chi,610,4,,,,,,,
20180402,MC-2,Eph,11,2,,,,,,,
20180402,MC-2,Sci,12,3,,,,,,,
20180402,MC-2,Geo,1,0,,,,,,,
20180402,MC-2,Del,6,2,,,,,,,
20180402,MC-2,Mus,1,1,,,,,,,
20180402,MC-2,Cha,1,0,,,,,,,
20180402,MC-2,Ich,2,0,,,,,,,
20180402,MC-2,Coc,1,1,,,,,,,
20180402,MC-2,Pyr,1,1,,,,,,,
20180402,MC-2,Cur,2,0,,,,,,,
20180402,MC-3,Chi,50,3,,,,,,,
20180402,LO-1,Chi,1400,5,,,,,,,
20180402,LO-1,Tet,2,1,,,,,,,
20180402,LO-1,Mus,14,3,,,,,,,
20180402,LO-1,Pyl,2,1,,,,,,,
20180402,LO-1,Coc,1,1,,,,,,,
20180402,LO-2,Chi,250,4,,,,,,,
20180402,LO-2,Sci,2,0,,,,,,,
20180402,LO-3,Chi,320,4,,,,,,,
20180402,LO-3,Sci,2,0,,,,,,,
20180402,LO-3,Del,1,0,,,,,,,
20180402,LC-1,Chi,120,3,,,,,,,
20180402,LC-1,Sci,6,1,,,,,,,
20180402,LC-2,Tet,1,0,,,,,,,
20180402,LC-2,Chi,150,3,,,,,,,
20180402,LC-2,Sci,2,0,,,,,,,
20180402,LC-3,Chi,400,4,,,,,,,
20180402,LC-3,Pyl,1,1,,,,,,,
20180402,LC-3,Sci,2,1,,,,,,,
20180402,LC-3,Cic,1,0,,,,,,,
20180402,SO-1,Chi,16,2,,,,,,,
20180402,SO-1,Sci,11,1,,,,,,,
20180402,SO-1,Tet,2,2,,,,,,,
20180402,SC-1,Chi,300,4,,,,,,,
20180402,SC-1,Eph,18,3,,,,,,,
20180402,SC-1,Sci,1,0,,,,,,,
20180506,MO-1,Pen,1,1,,,,,,,
20180506,MO-1,Tet,4,1,,,,,,,
20180506,MO-1,Cic,6,2,,,,,,,
20180506,MO-1,Acr,7,2,,,,,,,
20180506,MO-1,Pyr,2,1,,,,,,,
20180506,MO-1,Emp,8,2,,,,,,,
20180506,MO-1,Tep,4,0,,,,,,,
20180506,MO-1,Sci,10,2,,,,,,,
20180506,MO-1,Ich,1,0,,,,,,,
20180506,MO-1,Mus,10,2,,,,,,,
20180506,MO-1,Chl,1,0,,,,,,,
20180506,MO-1,Eph,8,2,,,,,,,
20180506,MO-1,Sce,1,0,,,,,,,
20180506,MO-1,Del,70,3,,,,,,,
20180506,MO-1,Geo,4,0,,,,,,,
20180506,MO-2,Cic,2,1,,,,,,,
20180506,MO-2,Acr,1,1,,,,,,,
20180506,MO-2,Tet,6,2,,,,,,,
20180506,MO-2,Del,50,3,,,,,,,
20180506,MO-2,Pen,1,1,,,,,,,
20180506,MO-2,Coc,1,1,,,,,,,
20180506,MO-2,Ich,1,0,,,,,,,
20180506,MO-2,For,1,0,,,,,,,
20180506,MO-2,Sci,3,0,,,,,,,
20180506,MO-2,Mus,8,2,,,,,,,
20180506,MO-2,Str,1,0,,,,,,,
20180506,MO-3,Pyl,1,1,,,,,,,
20180506,MO-3,Pen,1,1,,,,,,,
20180506,MO-3,Coc,1,1,,,,,,,
20180506,MO-3,Acr,3,1,,,,,,,
20180506,MO-3,Cic,3,2,,,,,,,
20180506,MO-3,Tet,5,2,,,,,,,
20180506,MO-3,Sci,5,1,,,,,,,
20180506,MO-3,Mus,8,2,,,,,,,
20180506,MO-3,Ich,3,0,,,,,,,
20180506,MO-3,Del,14,2,,,,,,,
20180506,MO-3,Cic,1,1,,,,,,,
20180506,MC-1,Coc,3,2,,,,,,,
20180506,MC-1,Hes,2,1,,,,,,,
20180506,MC-1,Ter,1,1,,,,,,,
20180506,MC-1,Chr,1,1,,,,,,,
20180506,MC-1,Cic,7,3,,,,,,,
20180506,MC-1,Tet,4,2,,,,,,,
20180506,MC-1,Ara,2,1,,,,,,,
20180506,MC-1,Sci,13,2,,,,,,,
20180506,MC-1,Str,7,2,,,,,,,
20180506,MC-1,Del,130,3,,,,,,,
20180506,MC-1,Mus,2,1,,,,,,,
20180506,MC-1,Ich,3,0,,,,,,,
20180506,MC-1,Chi,16,2,,,,,,,
20180506,MC-2,Pyl,1,1,,,,,,,
20180506,MC-2,Lyg,1,1,,,,,,,
20180506,MC-2,Pen,1,1,,,,,,,
20180506,MC-2,Tet,7,2,,,,,,,
20180506,MC-2,Ara,1,1,,,,,,,
20180506,MC-2,Mus,9,2,,,,,,,
20180506,MC-2,Del,20,2,,,,,,,
20180506,MC-2,Cic,1,1,,,,,,,
20180506,MC-2,Str,4,1,,,,,,,
20180506,MC-2,Sci,40,3,,,,,,,
20180506,MC-2,Ich,2,0,,,,,,,
20180506,MC-2,Chi,5,1,,,,,,,
20180506,MC-3,Ich,2,0,,,,,,,
20180506,MC-3,Del,28,1,,,,,,,
20180506,MC-3,Cic,1,1,,,,,,,
20180506,MC-3,Tet,10,3,,,,,,,
20180506,MC-3,Chl,8,2,,,,,,,
20180506,MC-3,Mus,13,2,,,,,,,
20180506,MC-3,Ich,2,0,,,,,,,
20180506,MC-3,Sci,2,0,,,,,,,
20180506,LO-1,Chi,8,1,,,,,,,
20180506,LO-1,Ich,1,1,,,,,,,
