"","Date","Count","Order","Family","Guild","Genus","stage","farm","family_english","date","julian_date"
"22","3/15/18",8,"雙翅目","渚蠅科","中性物種","Psilopa","未插秧","MO1","Ephydridae",2018-03-15,74
"23","3/15/18",2,"雙翅目","蠓科","中性物種","庫蠓","未插秧","MO1","Ceratopogonidae",2018-03-15,74
"24","3/15/18",1,"雙翅目","搖蚊科","中性物種","隱搖蚊","未插秧","MO1","Chironomidae",2018-03-15,74
"25","4/2/18",101,"雙翅目","渚蠅科","中性物種","Psilopa","分糵期","MO1","Ephydridae",2018-04-02,92
"26","4/2/18",1,"直翅目","蝗科","稻害者","小稻蝗","分糵期","MO1","Acrididae",2018-04-02,92
"27","4/2/18",1,"蜘蛛","長腳蛛科","掠食者","日本長腳蛛","分糵期","MO1","Tetragnathidae",2018-04-02,92
"28","4/2/18",9,"雙翅目","蠓科","掠食者","尼蠓","分糵期","MO1","Ceratopogonidae",2018-04-02,92
"29","4/2/18",21,"雙翅目","搖蚊科","中性物種","池畔搖蚊","分糵期","MO1","Chironomidae",2018-04-02,92
"30","4/2/18",4,"半翅目","稻蝨科","稻害者","班飛蝨","分糵期","MO1","Delphacidae",2018-04-02,92
"31","4/2/18",3,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","分糵期","MO1","Cicadellidae",2018-04-02,92
"32","4/2/18",1,"直翅目","菱蝗科","植食者","條背土蝗","分糵期","MO1","Tetrigidae",2018-04-02,92
"33","4/2/18",1,"膜翅目","緣腹細蜂科","擬寄生者","粒卵蜂","分糵期","MO1","Scelionidae",2018-04-02,92
"34","4/2/18",1,"半翅目","葉蟬科","稻害者","電光葉蟬","分糵期","MO1","Cicadellidae",2018-04-02,92
"35","4/2/18",8,"半翅目","稻蝨科","稻害者","褐飛蝨","分糵期","MO1","Delphacidae",2018-04-02,92
"36","4/2/18",28,"雙翅目","搖蚊科","中性物種","隱搖蚊","分糵期","MO1","Chironomidae",2018-04-02,92
"37","4/2/18",2,"雙翅目","黑翅蕈蚋科","中性物種","","分糵期","MO1","Sciaridae",2018-04-02,92
"38","4/2/18",1,"鞘翅目","蕈甲科","中性物種","","分糵期","MO1","Leiodidae",2018-04-02,92
"39","4/20/18",6,"雙翅目","稈蠅科","掠食者","anatrichus","分糵盛期","MO1","Chloropidae",2018-04-20,110
"40","4/20/18",2,"雙翅目","長足虻科","掠食者","Dolichopus","分糵盛期","MO1","Dolichopodidae",2018-04-20,110
"41","4/20/18",3,"雙翅目","舞虻科","掠食者","Drapetis","分糵盛期","MO1","Empididae",2018-04-20,110
"42","4/20/18",6,"雙翅目","渚蠅科","中性物種","Hydreilla","分糵盛期","MO1","Ephydridae",2018-04-20,110
"43","4/20/18",1,"膜翅目","緣腹細蜂科","擬寄生者","macroteleia","分糵盛期","MO1","Scelionidae",2018-04-20,110
