	Date	Count	Order	Family	Guild	Genus	stage	farm	family_english	date	julian_date
218	4/2/18	34	雙翅目	搖蚊科	中性物種	隱搖蚊	分?期	MO2	Chironomidae	2018/4/2	92
220	4/2/18	105	雙翅目	搖蚊科	中性物種	鹽埕搖蚊	分?期	MO2	Chironomidae	2018/4/2	92
418	4/2/18	2	雙翅目	長足虻科	掠食者	Medetera	分?期	MC1	Dolichopodidae	2018/4/2	92
433	4/2/18	2	雙翅目	蚋科	中性物種		分?期	MC1	Simuliidae	2018/4/2	92
435	4/2/18	1	雙翅目	桿蠅科	中性物種	Mepachymerus	分?期	MC1	Chloropidae	2018/4/2	92
437	4/2/18	1	雙翅目	渚蠅科	中性物種		分?期	MC1	Ephydridae	2018/4/2	92
455	4/2/18	38	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?期	MC1	Chironomidae	2018/4/2	92
457	4/2/18	15	雙翅目	搖蚊科	中性物種	隱搖蚊	分?期	MC1	Chironomidae	2018/4/2	92
458	4/2/18	3	雙翅目	搖蚊科	中性物種	隱搖蚊2	分?期	MC1	Chironomidae	2018/4/2	92
485	4/2/18	1	半翅目	稻蝨科	稻害者	班飛蝨	分?期	MC1	Delphacidae	2018/4/2	92
490	4/2/18	2	半翅目	稻蝨科	稻害者	褐飛蝨	分?期	MC1	Delphacidae	2018/4/2	92
519	4/2/18	7	雙翅目	蠓科	中性物種	毛蠓	分?期	MC1	Ceratopogonidae	2018/4/2	92
520	4/2/18	4	雙翅目	蠓科	掠食者	尼蠓	分?期	MC1	Ceratopogonidae	2018/4/2	92
527	4/2/18	2	雙翅目	搖蚊科	中性物種	小刺搖蚊	分?盛期	MC2	Chironomidae	2018/4/2	92
528	4/2/18	1	鞘翅目	象鼻蟲科	稻害者	水稻水象鼻蟲	分?盛期	MC2	Curculionidae	2018/4/2	92
531	4/2/18	101	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?盛期	MC2	Chironomidae	2018/4/2	92
534	4/2/18	103	雙翅目	搖蚊科	中性物種	克利搖蚊	分?盛期	MC2	Chironomidae	2018/4/2	92
540	4/2/18	1	半翅目	葉蟬科	稻害者	偽黑尾葉蟬	分?盛期	MC2	Cicadellidae	2018/4/2	92
544	4/2/18	1	蜘蛛	長腳蛛科	掠食者	華麗長腳蛛	分?盛期	MC2	Tetragnathidae	2018/4/2	92
551	4/2/18	57	雙翅目	搖蚊科	中性物種	隱搖蚊	分?盛期	MC2	Chironomidae	2018/4/2	92
554	4/2/18	298	雙翅目	搖蚊科	中性物種	鹽埕搖蚊	分?盛期	MC2	Chironomidae	2018/4/2	92
560	4/2/18	1	雙翅目	日蠅科	中性物種		分?盛期	MC2	Heleomyzidae	2018/4/2	92
566	4/2/18	1	膜翅目	金小蜂科	擬寄生者		分?盛期	MC2	Pteromalidae	2018/4/2	92
575	4/2/18	4	雙翅目	長足虻科	掠食者		分?盛期	MC2	Dolichopodidae	2018/4/2	92
585	4/2/18	1	半翅目	蚜科	稻害者		分?盛期	MC2	Aphididae	2018/4/2	92
587	4/2/18	4	雙翅目	渚蠅科	中性物種		分?盛期	MC2	Ephydridae	2018/4/2	92
597	4/2/18	1	膜翅目	釉小蜂科	擬寄生者		分?盛期	MC2	Eulophidae	2018/4/2	92
609	4/2/18	1	蜘蛛	貓蛛科	掠食者		分?盛期	MC2	Oxyopidae	2018/4/2	92
631	4/2/18	1	雙翅目	長足虻科	掠食者	Medetera	分?期	MC3	Dolichopodidae	2018/4/2	92
633	4/2/18	1	雙翅目	渚蠅科	中性物種	Psilopa	分?期	MC3	Ephydridae	2018/4/2	92
664	4/2/18	26	雙翅目	搖蚊科	中性物種	隱搖蚊	分?期	MC3	Chironomidae	2018/4/2	92
713	4/2/18	2	雙翅目	長足虻科	掠食者	Medetera	分?盛期	LO1	Dolichopodidae	2018/4/2	92
714	4/2/18	1	雙翅目	桿蠅科	中性物種	Mepachymerus	分?盛期	LO1	Chloropidae	2018/4/2	92
716	4/2/18	22	雙翅目	渚蠅科	中性物種	Psilopa	分?盛期	LO1	Ephydridae	2018/4/2	92
730	4/2/18	1	雙翅目	蠓科	掠食者	尼蠓	分?盛期	LO1	Ceratopogonidae	2018/4/2	92
737	4/2/18	9	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?盛期	LO1	Chironomidae	2018/4/2	92
748	4/2/18	1	半翅目	葉蟬科	稻害者	偽黑尾葉蟬	分?盛期	LO1	Cicadellidae	2018/4/2	92
767	4/2/18	1442	雙翅目	搖蚊科	中性物種	隱搖蚊	分?盛期	LO1	Chironomidae	2018/4/2	92
