Farm,Stage,Family.ID,Count,Guild,Guild2,Date,Order,Family,family_english,Guild.C,Genus,stage.C,julian_date
MO1,Seedling,Eph,8,Neutral,Detritivores,20180315,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,未插秧,74
MO1,Seedling,Cer,2,Neutral,Detritivores,20180315,雙翅目,蠓科,Ceratopogonidae,中性物種,庫蠓,未插秧,74
MO1,Seedling,Chi,1,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,未插秧,74
MO2,Seedling,Dol,1,Predator,Predators,20180315,雙翅目,長足虻科,Dolichopodidae,掠食者,Medetera,成活期,74
MO2,Seedling,Eph,1,Neutral,Detritivores,20180315,雙翅目,渚蠅科,Ephydridae,中性物種,Notiphia,成活期,74
MO2,Seedling,Chi,21,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,,成活期,74
MC2,Tillering,For,1,Predator,Predators,20180315,膜翅目,蟻科,Formicidae,掠食者,花居單家蟻,分?期,74
MC2,Tillering,Chi,3,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,74
MC2,Tillering,Ali,1,Parasitoid,Parasitoid,20180315,膜翅目,蚜小蜂科,Aphelinidae,擬寄生者,,分?期,74
MC3,Seedling,Eph,1,Neutral,Detritivores,20180315,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,插秧,74
MC3,Seedling,Pth,1,Rice.Herbivore,Rice.herb,20180315,纓翅目,管薊馬科,Phlaeothripidae,稻害者,稻管薊馬,插秧,74
MC3,Seedling,Chi,1,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,,插秧,74
MC3,Seedling,Bra,1,Parasitoid,Parasitoid,20180315,膜翅目,繭蜂科,Braconidae,擬寄生者,,插秧,74
MC3,Seedling,Cer,2,Neutral,Detritivores,20180315,雙翅目,蠓科,Ceratopogonidae,中性物種,,插秧,74
LO1,Seedling,Chi,2,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,插秧,74
LO1,Seedling,Chi,4,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,插秧,74
LO2,Tillering,Eph,1,Neutral,Detritivores,20180315,雙翅目,渚蠅科,Ephydridae,中性物種,,分?期,74
LO2,Tillering,Chi,5,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,,分?期,74
LO3,Tillering,Chi,4,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,74
LC3,Tillering,Chi,2,Neutral,Detritivores,20180315,雙翅目,搖蚊科,Chironomidae,中性物種,,分?期,74
MO1,Tillering,Eph,101,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,分?期,92
MO1,Tillering,Acr,1,Rice.Herbivore,Rice.herb,20180402,直翅目,蝗科,Acrididae,稻害者,小稻蝗,分?期,92
MO1,Tillering,Tet,1,Predator,Predators,20180402,蜘蛛,長腳蛛科,Tetragnathidae,掠食者,日本長腳蛛,分?期,92
MO1,Tillering,Cer,9,Predator,Predators,20180402,雙翅目,蠓科,Ceratopogonidae,掠食者,尼蠓,分?期,92
MO1,Tillering,Chi,21,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,92
MO1,Tillering,Del,4,Rice.Herbivore,Rice.herb,20180402,半翅目,稻蝨科,Delphacidae,稻害者,班飛蝨,分?期,92
MO1,Tillering,Cic,3,Rice.Herbivore,Rice.herb,20180402,半翅目,葉蟬科,Cicadellidae,稻害者,偽黑尾葉蟬,分?期,92
MO1,Tillering,Ter,1,Herbivore,Tour.herb,20180402,直翅目,菱蝗科,Tetrigidae,植食者,條背土蝗,分?期,92
MO1,Tillering,Sce,1,Parasitoid,Parasitoid,20180402,膜翅目,緣腹細蜂科,Scelionidae,擬寄生者,粒卵蜂,分?期,92
MO1,Tillering,Cic,1,Rice.Herbivore,Rice.herb,20180402,半翅目,葉蟬科,Cicadellidae,稻害者,電光葉蟬,分?期,92
MO1,Tillering,Del,8,Rice.Herbivore,Rice.herb,20180402,半翅目,稻蝨科,Delphacidae,稻害者,褐飛蝨,分?期,92
MO1,Tillering,Chi,28,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
MO1,Tillering,SCA,2,Neutral,Detritivores,20180402,雙翅目,黑翅蕈蚋科,Sciaridae,中性物種,,分?期,92
MO1,Tillering,Lei,1,Neutral,Detritivores,20180402,鞘翅目,蕈甲科,Leiodidae,中性物種,,分?期,92
MO2,Tillering,Myr,1,Parasitoid,Parasitoid,20180402,膜翅目,纓小蜂科,Mymaridae,擬寄生者,gonatocerus,分?期,92
MO2,Tillering,Pte,1,Parasitoid,Parasitoid,20180402,膜翅目,金小蜂科,Pteromalidae,擬寄生者,panstenon,分?期,92
MO2,Tillering,Chi,1,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,小刺搖蚊,分?期,92
