No.,ID,Date,Species,Amount_mg,Conc_N_%,d_15N,Conc_C_%,d_13C,Farm_type,Sur_env,Stage,Trophic
1,1OrBp20170331,20170331,Bp,2.069,2.14,5.26,35.28,-29.58,Or,M,Seedling,Producer
2,1OrBp20170331,20170331,Bp,2.049,2.11,5.38,35.22,-29.62,Or,M,Seedling,Producer
3,1OrBp20170331,20170331,Bp,2.089,2.12,5.59,34.98,-29.61,Or,M,Seedling,Producer
4,1OrOs20170331,20170331,Os,2.022,3.81,2.63,36.03,-29.95,Or,M,Seedling,Producer
5,1OrOs20170331,20170331,Os,2.286,3.90,2.54,36.32,-29.86,Or,M,Seedling,Producer
6,1OrOs20170331,20170331,Os,2.070,3.81,2.58,35.92,-29.91,Or,M,Seedling,Producer
7,1CvBp20170331,20170331,Bp,2.275,2.69,3.07,35.96,-31.24,Cv,M,Seedling,Producer
8,1CvBp20170331,20170331,Bp,1.993,3.40,3.00,44.07,-31.29,Cv,M,Seedling,Producer
9,1CvBp20170331,20170331,Bp,2.049,2.61,3.07,35.19,-31.26,Cv,M,Seedling,Producer
10,1CvOs20170331,20170331,Os,2.026,4.97,-7.85,36.31,-30.21,Cv,M,Seedling,Producer
11,1CvOs20170331,20170331,Os,2.049,5.00,-7.88,36.51,-30.05,Cv,M,Seedling,Producer
12,1CvOs20170331,20170331,Os,1.973,4.94,-7.90,36.09,-30.22,Cv,M,Seedling,Producer
13,2OrBp20170331,20170331,Bp,2.027,2.97,2.08,35.36,-31.78,Or,G,Seedling,Producer
14,2OrBp20170331,20170331,Bp,1.992,2.93,2.03,35.13,-31.79,Or,G,Seedling,Producer
15,2OrBp20170331,20170331,Bp,2.052,2.96,2.08,35.07,-31.89,Or,G,Seedling,Producer
16,2OrOs20170331,20170331,Os,1.989,3.78,6.16,35.66,-31.33,Or,G,Seedling,Producer
17,2OrOs20170331,20170331,Os,2.061,3.80,6.23,35.60,-31.33,Or,G,Seedling,Producer
18,2OrOs20170331,20170331,Os,2.079,3.76,6.22,35.54,-31.41,Or,G,Seedling,Producer
19,2CvBp20170331,20170331,Bp,2.040,3.12,3.52,35.23,-31.17,Cv,G,Seedling,Producer
20,2CvBp20170331,20170331,Bp,1.945,3.15,3.58,35.29,-31.16,Cv,G,Seedling,Producer
21,2CvBp20170331,20170331,Bp,1.968,3.11,3.64,35.13,-31.23,Cv,G,Seedling,Producer
22,2CvOs20170331,20170331,Os,2.056,4.24,-1.36,35.12,-30.46,Cv,G,Seedling,Producer
23,2CvOs20170331,20170331,Os,2.043,4.23,-1.50,35.16,-30.46,Cv,G,Seedling,Producer
24,2CvOs20170331,20170331,Os,1.962,4.25,-1.46,35.45,-30.55,Cv,G,Seedling,Producer
25,3OrBp20170407,20170407,Bp,2.230,4.33,1.85,37.64,-32.26,Or,O,Seedling,Producer
26,3OrBp20170407,20170407,Bp,2.003,4.26,1.89,37.42,-32.29,Or,O,Seedling,Producer
27,3OrBp20170407,20170407,Bp,2.026,4.21,1.93,37.34,-32.26,Or,O,Seedling,Producer
28,3OrOs20170407,20170407,Os,2.282,4.19,5.94,36.14,-29.84,Or,O,Seedling,Producer
29,3OrOs20170407,20170407,Os,2.056,4.13,5.94,36.28,-30.04,Or,O,Seedling,Producer
30,3OrOs20170407,20170407,Os,2.075,4.11,5.88,36.17,-29.76,Or,O,Seedling,Producer
31,3CvBp20170407,20170407,Bp,2.168,4.96,0.70,37.32,-31.12,Cv,O,Seedling,Producer
32,3CvBp20170407,20170407,Bp,2.192,4.93,0.75,37.49,-31.07,Cv,O,Seedling,Producer
33,3CvBp20170407,20170407,Bp,1.965,4.77,0.92,36.52,-31.02,Cv,O,Seedling,Producer
34,3CvOs20170407,20170407,Os,2.063,4.39,-2.82,35.95,-30.15,Cv,O,Seedling,Producer
35,3CvOs20170407,20170407,Os,1.995,4.36,-2.82,35.75,-30.17,Cv,O,Seedling,Producer
36,3CvOs20170407,20170407,Os,2.072,4.38,-2.67,35.72,-30.04,Cv,O,Seedling,Producer
37,1OrBp20170512,20170512,Bp,2.232,2.12,3.32,36.93,-30.98,Or,M,Tillering,Producer
38,1OrBp20170512,20170512,Bp,2.182,1.97,3.23,34.23,-31.05,Or,M,Tillering,Producer
39,1OrBp20170512,20170512,Bp,2.230,2.15,3.13,36.98,-31.07,Or,M,Tillering,Producer
40,1OrOs20170512,20170512,Os,2.244,3.04,8.58,37.20,-29.32,Or,M,Tillering,Producer
41,1OrOs20170512,20170512,Os,2.174,3.02,8.53,37.01,-29.30,Or,M,Tillering,Producer
42,1OrOs20170512,20170512,Os,2.177,3.03,8.55,36.97,-29.33,Or,M,Tillering,Producer
43,1CvBp20170512,20170512,Bp,2.183,1.93,5.82,35.75,-31.20,Cv,M,Tillering,Producer
44,1CvBp20170512,20170512,Bp,2.200,1.95,6.17,35.84,-31.02,Cv,M,Tillering,Producer
45,1CvBp20170512,20170512,Bp,2.137,1.93,5.71,35.68,-31.10,Cv,M,Tillering,Producer
46,1CvOs20170512,20170512,Os,2.187,2.77,8.49,37.68,-28.97,Cv,M,Tillering,Producer
47,1CvOs20170512,20170512,Os,2.057,2.69,8.61,36.62,-28.97,Cv,M,Tillering,Producer
48,1CvOs20170512,20170512,Os,2.264,2.62,8.73,36.23,-29.00,Cv,M,Tillering,Producer
49,2OrBp20170512,20170512,Bp,2.234,2.01,3.95,34.41,-32.13,Or,G,Tillering,Producer
50,2OrBp20170512,20170512,Bp,2.185,1.98,3.74,34.50,-32.10,Or,G,Tillering,Producer
51,2OrBp20170512,20170512,Bp,2.206,2.00,3.78,34.56,-32.16,Or,G,Tillering,Producer
52,2OrOs20170512,20170512,Os,2.167,2.65,6.18,35.58,-30.07,Or,G,Tillering,Producer
53,2OrOs20170512,20170512,Os,2.195,2.62,6.18,35.59,-30.11,Or,G,Tillering,Producer
54,2OrOs20170512,20170512,Os,2.284,2.62,6.15,35.57,-30.13,Or,G,Tillering,Producer
55,2CvBp20170512,20170512,Bp,2.258,3.14,4.94,34.89,-31.73,Cv,G,Tillering,Producer
56,2CvBp20170512,20170512,Bp,2.230,3.17,4.95,34.83,-31.77,Cv,G,Tillering,Producer
57,2CvBp20170512,20170512,Bp,2.257,3.17,4.99,34.53,-31.77,Cv,G,Tillering,Producer
58,2CvOs20170512,20170512,Os,2.144,2.94,6.01,36.23,-29.75,Cv,G,Tillering,Producer
59,2CvOs20170512,20170512,Os,2.163,2.89,5.92,36.15,-29.71,Cv,G,Tillering,Producer
60,2CvOs20170512,20170512,Os,2.216,2.91,5.86,36.36,-29.67,Cv,G,Tillering,Producer
61,3OrBp20170512,20170512,Bp,2.244,2.95,3.35,34.73,-32.68,Or,O,Tillering,Producer
62,3OrBp20170512,20170512,Bp,2.220,2.94,3.31,34.76,-32.68,Or,O,Tillering,Producer
63,3OrBp20170512,20170512,Bp,2.261,2.90,3.32,34.67,-32.67,Or,O,Tillering,Producer
64,3OrOs20170512,20170512,Os,2.163,2.51,10.25,36.73,-29.92,Or,O,Tillering,Producer
65,3OrOs20170512,20170512,Os,2.230,2.49,10.22,36.98,-29.96,Or,O,Tillering,Producer
66,3OrOs20170512,20170512,Os,2.170,2.51,10.20,36.97,-29.91,Or,O,Tillering,Producer
67,3CvBp20170512,20170512,Bp,2.147,3.58,5.37,34.85,-31.99,Cv,O,Tillering,Producer
68,3CvBp20170512,20170512,Bp,2.236,3.57,5.33,34.81,-31.96,Cv,O,Tillering,Producer
69,3CvBp20170512,20170512,Bp,2.214,3.50,5.37,34.66,-32.03,Cv,O,Tillering,Producer
70,3CvOs20170512,20170512,Os,2.192,3.14,6.27,37.49,-29.60,Cv,O,Tillering,Producer
71,3CvOs20170512,20170512,Os,2.193,3.15,6.26,37.56,-29.57,Cv,O,Tillering,Producer
72,3CvOs20170512,20170512,Os,2.223,3.10,6.26,37.23,-29.57,Cv,O,Tillering,Producer
73,1OrBp20170623,20170623,Bp,2.076,2.71,4.29,43.26,-31.18,Or,M,Heading,Producer
74,1OrBp20170623,20170623,Bp,2.137,2.77,4.32,44.15,-30.71,Or,M,Heading,Producer
75,1OrBp20170623,20170623,Bp,2.063,2.62,3.48,43.79,-31.09,Or,M,Heading,Producer
76,1OrOs20170623,20170623,Os,2.15,2.55,8.77,41.04,-28.51,Or,M,Heading,Producer
77,1OrOs20170623,20170623,Os,2.077,3.07,9.76,41.74,-28.80,Or,M,Heading,Producer
78,1OrOs20170623,20170623,Os,2.039,3.29,8.31,43.29,-29.04,Or,M,Heading,Producer
79,1CvBp20170623,20170623,Bp,2.162,2.57,2.90,42.91,-30.98,Cv,M,Heading,Producer
80,1CvBp20170623,20170623,Bp,2.031,2.85,3.60,43.00,-30.17,Cv,M,Heading,Producer
81,1CvBp20170623,20170623,Bp,2.072,2.97,2.10,43.30,-30.53,Cv,M,Heading,Producer
82,1CvOs20170623,20170623,Os,2.021,2.86,6.48,43.03,-29.70,Cv,M,Heading,Producer
83,1CvOs20170623,20170623,Os,2.097,2.20,7.67,42.05,-29.99,Cv,M,Heading,Producer
84,1CvOs20170623,20170623,Os,2.094,2.64,6.05,44.41,-29.47,Cv,M,Heading,Producer
85,2OrBp20170623,20170623,Bp,2.027,2.35,1.76,44.34,-31.11,Or,G,Heading,Producer
86,2OrBp20170623,20170623,Bp,2.093,2.09,0.80,42.67,-32.60,Or,G,Heading,Producer
87,2OrBp20170623,20170623,Bp,2.128,3.14,4.34,42.60,-32.89,Or,G,Heading,Producer
88,2OrOs20170623,20170623,Os,2.185,2.20,5.79,43.64,-29.97,Or,G,Heading,Producer
89,2OrOs20170623,20170623,Os,2.177,2.39,6.81,43.08,-29.68,Or,G,Heading,Producer
90,2OrOs20170623,20170623,Os,2.027,2.07,6.76,42.99,-29.60,Or,G,Heading,Producer
91,2CvBp20170623,20170623,Bp,2.113,1.84,3.28,44.12,-31.49,Cv,G,Heading,Producer
92,2CvBp20170623,20170623,Bp,2.085,2.62,0.69,44.84,-30.71,Cv,G,Heading,Producer
93,2CvBp20170623,20170623,Bp,2.017,2.54,5.55,43.00,-30.79,Cv,G,Heading,Producer
94,2CvOs20170623,20170623,Os,2.124,2.85,4.46,40.08,-29.24,Cv,G,Heading,Producer
95,2CvOs20170623,20170623,Os,2.021,3.12,5.75,42.33,-29.49,Cv,G,Heading,Producer
96,2CvOs20170623,20170623,Os,2.140,2.95,5.23,41.00,-29.19,Cv,G,Heading,Producer
97,3OrBp20170623,20170623,Bp,2.110,4.00,5.15,44.03,-31.99,Or,O,Heading,Producer
98,3OrBp20170623,20170623,Bp,2.172,3.21,4.99,44.25,-30.70,Or,O,Heading,Producer
99,3OrBp20170623,20170623,Bp,2.080,3.15,5.76,43.95,-31.45,Or,O,Heading,Producer
100,3OrOs20170623,20170623,Os,2.160,3.45,8.22,42.86,-29.89,Or,O,Heading,Producer
101,3OrOs20170623,20170623,Os,2.185,3.28,8.75,42.34,-30.26,Or,O,Heading,Producer
102,3OrOs20170623,20170623,Os,2.123,3.16,8.53,43.92,-29.98,Or,O,Heading,Producer
103,3CvBp20170623,20170623,Bp,2.081,2.12,4.67,42.68,-31.33,Cv,O,Heading,Producer
104,3CvBp20170623,20170623,Bp,2.070,2.34,6.83,42.86,-31.89,Cv,O,Heading,Producer
105,3CvBp20170623,20170623,Bp,2.093,4.03,2.70,44.03,-33.86,Cv,O,Heading,Producer
106,3CvOs20170623,20170623,Os,2.034,2.90,6.54,44.58,-29.60,Cv,O,Heading,Producer
107,3CvOs20170623,20170623,Os,2.050,2.82,6.61,44.05,-29.78,Cv,O,Heading,Producer
108,3CvOs20170623,20170623,Os,2.017,2.54,5.90,43.74,-29.73,Cv,O,Heading,Producer
109,1OrBp20170712,20170712,Bp,2.016,2.76,4.55,43.04,-30.64,Or,M,Ripening,Producer
110,1OrBp20170712,20170712,Bp,2.134,2.96,3.25,42.53,-29.82,Or,M,Ripening,Producer
111,1OrBp20170712,20170712,Bp,2.214,3.09,5.07,42.73,-30.06,Or,M,Ripening,Producer
112,1OrOs20170712,20170712,Os,2.014,1.24,5.99,38.53,-29.57,Or,M,Ripening,Producer
113,1OrOs20170712,20170712,Os,2.114,1.83,9.07,38.05,-29.93,Or,M,Ripening,Producer
114,1OrOs20170712,20170712,Os,2.040,1.84,7.91,37.68,-29.50,Or,M,Ripening,Producer
115,1CvBp20170712,20170712,Bp,2.031,3.69,3.19,43.03,-29.55,Cv,M,Ripening,Producer
