"Sample.ID","Family","d13C","C.amount_ug","d15N","N.amount_ug","Total.amount_mg","Farmtype","Landscape","Stage","Farm.ID","Date"
"20180402TETSO1","TET",-24.5643081606496,614.782688581622,10.059820896453,130.892861379603,"1.174","Or","Sea","Seedling","SO1","20180402"
"20180402SCISO1","SCI",-20.9046024890108,412.11955830233,7.83430388772688,83.5080950500754,"0.794","Or","Sea","Seedling","SO1","20180402"
"20180402CHISO1","CHI",-24.4223107603205,400.049133788472,10.1699711967038,84.2544968496613,"0.81","Or","Sea","Seedling","SO1","20180402"
"20180402CHISO1","CHI",-26.7832936661001,429.236644016274,7.81091478084254,98.399851140823,"0.871","Or","Sea","Seedling","SO1","20180402"
"20180402TETSO1","TET",-24.2570307593651,528.3074909622,10.8262761374902,137.493618105386,"1.095","Or","Sea","Seedling","SO1","20180402"
"20180402CHISC1","CHI",-21.7118122018032,580.131699169377,10.1314588827702,127.954227105672,"1.202","Cv","Sea","Seedling","SC1","20180402"
"20180402CHISC1","CHI",-22.2606345799553,677.1542016287,10.2315182819187,148.460508882528,"1.4","Cv","Sea","Seedling","SC1","20180402"
"20180402CHISC1","CHI",-22.3856109431737,469.592229566389,10.0940261949349,103.593921295524,"1.006","Cv","Sea","Seedling","SC1","20180402"
"20180402CHISC1","CHI",-21.5578432392872,616.823511226542,10.434229747167,136.028119905365,"1.292","Cv","Sea","Seedling","SC1","20180402"
"20180402EPHSC1","EPH",-21.5656244369411,527.293156625353,6.44124242834828,105.817087159116,"1.009","Cv","Sea","Seedling","SC1","20180402"
"20180402EPHSC1","EPH",-20.6360427510025,472.623429876545,6.47435047624319,91.7080127689232,"0.888","Cv","Sea","Seedling","SC1","20180402"
"20180402EPHSC1","EPH",-22.24703633542,482.731997431378,6.82302010078125,92.4523141531898,"0.91","Cv","Sea","Seedling","SC1","20180402"
"20180402CHILC2","CHI",-25.0011030143037,522.222538753657,7.75858418183701,116.169138514396,"1.093","Cv","Land","Seedling","LC2","20180402"
"20180402CHILC2","CHI",-23.3893468396014,577.078158033496,7.50553898155573,124.276637959197,"1.318","Cv","Land","Seedling","LC2","20180402"
"20180402CHILC2","CHI",-24.6469887555969,489.812174842814,7.17463682750523,107.298243000608,"1.047","Cv","Land","Seedling","LC2","20180402"
"20180402CHILC3","CHI",-26.5502893630703,629.074348446253,8.25740483292284,138.226080785126,"1.284","Cv","Land","Seedling","LC3","20180402"
"20180402CHILC3","CHI",-25.7468404859734,613.762382640415,7.9899485914281,133.828440503979,"1.254","Cv","Land","Seedling","LC3","20180402"
"20180402CHILC3","CHI",-25.7652610277052,681.253269952438,8.26871095964896,149.19010735956,"1.408","Cv","Land","Seedling","LC3","20180402"
"20180402CHILC3","CHI",-26.2609377422358,669.983536847661,8.06367091757392,146.270567770349,"1.39","Cv","Land","Seedling","LC3","20180402"
"20180402SCILC3","SCI",-26.034448915345,290.872735571372,5.30303383515834,56.3597815739088,"0.567","Cv","Land","Seedling","LC3","20180402"
"20180402PYLLC3","PYL",-25.4287336447344,464.541634132842,6.52865578913503,92.4523141531898,"0.919","Cv","Land","Seedling","LC3","20180402"
"20180402STRMO1","STR",-27.2067321384812,437.298768592672,25.8242436124495,104.335167530235,"0.88","Or","Mount","Seedling","MO1","20180402"
"20180402SCIMO1","SCI",-24.3454926031829,503.98285702852,8.6162731144601,104.335167530235,"1.02","Or","Mount","Seedling","MO1","20180402"
"20180402MUSMO1","MUS",-24.8632918334643,429.236644016274,4.01025578790992,85.0007077023999,"0.854","Or","Mount","Seedling","MO1","20180402"
"20180402CHIMO1","CHI",-24.4794845046983,321.837966581393,10.0395706067422,68.3898931595184,"0.664","Or","Mount","Seedling","MO1","20180402"
"20180402MUSMO1","MUS",-24.3135176426345,326.838681554988,6.76565276043769,59.8234452811053,"0.631","Or","Mount","Seedling","MO1","20180402"
"20180402CICMO1","CIC",-15.2767144220914,579.113781869914,6.75517419484646,125.012537682186,"1.126","Or","Mount","Seedling","MO1","20180402"
"20180402CICMO1","CIC",-12.7699038494034,432.259413826157,1.93584533141069,93.1964245906091,"0.825","Or","Mount","Seedling","MO1","20180402"
"20180402DELMO1","DEL",-18.1453509743189,500.945123080653,6.83115654065441,108.038534501083,"1.081","Or","Mount","Seedling","MO1","20180402"
"20180402CHIMO1","CHI",-25.3269250258722,453.436506545906,11.0472776596699,88.7288977633849,"0.966","Or","Mount","Seedling","MO1","20180402"
