Sample.ID,Family,d13C,C.amount_ug,d15N,N.amount_ug,Total.amount_mg,Farmtype,Landscape,Stage,Farm.ID,LSxFT,Date,Year
1Cv10513-NYM1,NYM,-31.76,611.45,6.65,82.72,1.29,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-CUR1,CUR,-28.26,555.84,1.42,101.91,1.091,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-PYL1,PYL,-27.13,427.19,2.57,96.54,0.802,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-CHR1,CHR,-28.08,585.08,3.89,134.73,1.17,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-DEL3,DEL,-30.24,448.37,4.32,68.93,0.809,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-DEL2,DEL,-29.77,357.24,4.65,65.61,0.67,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-DEL1,DEL,-29.4,615.37,4.85,109.56,1.163,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-CIC1,CIC,-28.74,370.62,5.37,77.56,0.721,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-CIC2,CIC,-29.54,283,4.36,56.65,0.541,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-TET2,TET,-25.44,285.85,7.51,70.47,0.606,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-TET1,TET,-24.79,269.74,9.25,69.47,0.582,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-ARA1,ARA,-27.45,482.14,7.55,98.84,1.073,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-DOL1,DOL,-23.96,628.09,8.95,114.15,1.286,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-DOL2,DOL,-22.89,258.38,6.93,62.99,0.525,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-FOR1,FOR,-26.54,266.89,7.34,47.28,0.536,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-CAL1,CAL,-22.28,524.75,14.33,114.91,1.095,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-CER1,CER,-24.63,484.07,4.43,106.5,0.988,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-EPH1,EPH,-26.45,377.31,6.61,88.1,0.773,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-EPH2,EPH,-27.31,283,8.27,56.26,0.581,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-ICH1,ICH,-25.39,266.89,9.21,57.58,0.522,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Cv10513-CHI1,CHI,-25.63,369.66,5.09,78.1,0.777,Cv,Mount,Tillering,MC1,MC,20190513,2019
1Or10513-ACR1,ACR,-24.12,470.55,8.77,110.33,0.977,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-TER1,TER,-22.68,706.74,3.81,144.61,1.387,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-TER2,TER,-22.42,405.1,3.69,88.1,0.8,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-PEN1,PEN,-28.22,472.48,5.39,89.63,0.979,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-API1,API,-23.87,323.86,1.52,78.1,0.686,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-DEL1,DEL,-30.14,422.39,7.98,70.01,0.77,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-DEL2,DEL,-29.91,504.39,7.94,81.95,0.91,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-CIC1,CIC,-19.24,316.25,4.8,71.4,0.621,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-CIC2,CIC,-15.85,468.62,7.5,113.38,0.955,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-ARA1,ARA,-24.74,347.69,7.38,91.94,0.748,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-ARA2,ARA,-23.47,724.51,5.39,165.82,1.502,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-TET3,TET,-24.42,462.83,9.77,125.59,1.009,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-TET2,TET,-23.21,386.89,8.85,99.61,0.8,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-TET1,TET,-24.65,450.29,9.54,118.73,0.965,Or,Mount,Tillering,MO1,MO,20190513,2019
