"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.1","...","1005.0","2017-07-01 17:58","1002.2","2017-07-01 15:48","28.7","32.3","2017-07-01 11:42","25.5","2017-07-01 04:01","...","77","60","2017-07-01 09:51","2.2","142","12.1","148","2017-07-01 17:51","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1004.2","...","1005.5","2017-07-02 21:33","1002.5","2017-07-02 14:19","28.9","32.6","2017-07-02 10:27","26.3","2017-07-02 05:09","...","75","57","2017-07-02 08:04","2.1","149","8.3","276","2017-07-02 12:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1004.1","...","1006.5","2017-07-03 22:23","1002.5","2017-07-03 15:31","29.1","32.7","2017-07-03 10:11","26.7","2017-07-03 01:48","...","74","60","2017-07-03 10:11","2.4","275","8.5","267","2017-07-03 12:03","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.9","...","1007.2","2017-07-04 18:48","1005.8","2017-07-04 21:03","28.6","27.1","2017-07-04 17:13","24.8","2017-07-04 18:21","...","78","81","2017-07-04 22:57","1.8","136","8.2","165","2017-07-04 17:13","19.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1007.2","...","1008.6","2017-07-05 21:43","1005.2","2017-07-05 17:11","29.1","32.1","2017-07-05 13:01","25.3","2017-07-05 01:44","...","75","62","2017-07-05 10:21","1.7","105","5.9","327","2017-07-05 11:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1006.7","...","1008.1","2017-07-06 00:43","1004.8","2017-07-06 17:12","28.9","32.0","2017-07-06 13:51","26.0","2017-07-06 05:02","...","79","68","2017-07-06 13:03","2.1","3","10.2","353","2017-07-06 10:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1007.3","...","1009.6","2017-07-07 22:11","1005.7","2017-07-07 14:31","28.2","32.5","2017-07-07 13:11","25.8","2017-07-07 22:11","...","75","58","2017-07-07 09:12","2.2","148","16.5","235","2017-07-07 14:31","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1007.4","...","1008.7","2017-07-08 00:01","1005.8","2017-07-08 14:51","28.5","32.1","2017-07-08 10:21","25.7","2017-07-08 01:13","...","74","59","2017-07-08 09:43","2.1","175","9.5","146","2017-07-08 17:21","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1006.4","...","1008.3","2017-07-09 00:01","1004.5","2017-07-09 17:36","29.5","32.5","2017-07-09 11:32","26.5","2017-07-09 05:21","...","75","61","2017-07-09 11:32","2.1","146","7.7","265","2017-07-09 11:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
