Farm,Stage,Family.ID,Count,Guild,Guild2,Date,Year,目,Order,科,Family,食性分類,水稻生長,種鑑定
LC1,Flowering,Chi,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,孕穗期,
LC1,Flowering,Fan,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,孕穗期,
LO1,Flowering,Chi,51,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,孕穗期,
LO1,Flowering,Cul,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,蚊科,Culicidae,中性物種,孕穗期,
LO1,Flowering,Fan,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,孕穗期,
LO1,Flowering,TIP,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,大蚊科,Tipulidae,中性物種,孕穗期,
MC1,Flowering,Ble,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,網蚊科,Blephariceridae,中性物種,抽穗期,
MC1,Flowering,Chi,5,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,抽穗期,
MC1,Flowering,Cul,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,蚊科,Culicidae,中性物種,抽穗期,
MC1,Flowering,Eph,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,抽穗期,
MC1,Flowering,Stp,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,?毛蚋科,Scatopsidae,中性物種,抽穗期,
SC1,Flowering,Chi,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,孕穗期,
SC1,Flowering,Eph,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,孕穗期,
SO1,Flowering,Chi,12,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,孕穗期,
SO1,Flowering,Chl,2,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,孕穗期,
SO1,Flowering,Cul,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,蚊科,Culicidae,中性物種,孕穗期,
SO1,Flowering,Fan,9,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,孕穗期,
SO1,Flowering,Pio,1,Neutral,Detritivores,20170526,2017,雙翅目,Diptera,酪蠅科,Piophilidae,中性物種,孕穗期,
MO1,Flowering,Chl,11,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,桿蠅科,Chloropidae,中性物種,抽穗期,
MO1,Flowering,SCA,1,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,黑翅蕈蚋科,Sciaridae,中性物種,抽穗期,
LC1,Ripening,Chl,1,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,桿蠅科,Chloropidae,中性物種,乳熟期,
LO1,Ripening,Atm,1,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,小花蠅科,Anthomyzidae,中性物種,乳熟期,
LO1,Ripening,Chi,1,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,乳熟期,
LO1,Ripening,Sph,1,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,大附蠅科,Sphaeroceridae,中性物種,乳熟期,
SC1,Ripening,Chi,3,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,乳熟期,
SC1,Ripening,Chl,3,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,乳熟期,
SC1,Ripening,Stp,1,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,?毛蚋科,Scatopsidae,中性物種,乳熟期,
LC1,Seedling,Chi,26,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,未插秧,
LC1,Seedling,Chl,2,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,桿蠅科,Chloropidae,中性物種,未插秧,
LC1,Seedling,Ect,1,Neutral,Detritivores,20170318,2017,嚙蟲目,Psocoptera,外嚙蟲科,Ectopsocidae,中性物種,未插秧,
