Year,Predator,Farm_ID,Stage,Source,Mean,SD,Median,Lower,Upper
2017,Both,LC1,Tillering,Rice herbivore,0.263,0.068,0.258,0.149,0.418
2017,Both,LC1,Tillering,Tourist herbivore,0.172,0.104,0.145,0.038,0.406
2017,Both,LC1,Tillering,Detritivore,0.564,0.133,0.581,0.299,0.781
2017,Both,LC1,Flowering,Rice herbivore,0.871,0.057,0.879,0.736,0.956
2017,Both,LC1,Flowering,Tourist herbivore,0.097,0.055,0.084,0.026,0.229
2017,Both,LC1,Flowering,Detritivore,0.032,0.02,0.028,0.007,0.085
2017,Both,LC1,Ripening,Rice herbivore,0.945,0.028,0.95,0.879,0.984
2017,Both,LC1,Ripening,Tourist herbivore,0.045,0.025,0.039,0.012,0.109
2017,Both,LC1,Ripening,Detritivore,0.009,0.009,0.006,0.001,0.036
2017,Both,LO1,Tillering,Rice herbivore,0.408,0.166,0.397,0.123,0.758
2017,Both,LO1,Tillering,Tourist herbivore,0.196,0.136,0.174,0.012,0.494
2017,Both,LO1,Tillering,Detritivore,0.396,0.208,0.372,0.067,0.829
2017,Both,LO1,Flowering,Rice herbivore,0.9,0.065,0.913,0.745,0.985
2017,Both,LO1,Flowering,Tourist herbivore,0.081,0.062,0.065,0.006,0.227
2017,Both,LO1,Flowering,Detritivore,0.02,0.022,0.012,0.001,0.088
2017,Both,LO1,Ripening,Rice herbivore,0.956,0.033,0.964,0.87,0.996
2017,Both,LO1,Ripening,Tourist herbivore,0.038,0.032,0.03,0.003,0.122
2017,Both,LO1,Ripening,Detritivore,0.006,0.009,0.003,0,0.029
2017,Both,MC1,Tillering,Rice herbivore,0.221,0.128,0.199,0.036,0.513
2017,Both,MC1,Tillering,Tourist herbivore,0.253,0.155,0.238,0.018,0.598
2017,Both,MC1,Tillering,Detritivore,0.526,0.2,0.519,0.154,0.915
2017,Both,MC1,Flowering,Rice herbivore,0.771,0.127,0.786,0.478,0.962
2017,Both,MC1,Flowering,Tourist herbivore,0.18,0.117,0.162,0.017,0.467
2017,Both,MC1,Flowering,Detritivore,0.049,0.055,0.03,0.003,0.214
2017,Both,MC1,Ripening,Rice herbivore,0.883,0.086,0.905,0.671,0.988
2017,Both,MC1,Ripening,Tourist herbivore,0.1,0.08,0.08,0.008,0.304
2017,Both,MC1,Ripening,Detritivore,0.017,0.029,0.007,0,0.104
2017,Both,MO1,Tillering,Rice herbivore,0.281,0.173,0.258,0.035,0.652
2017,Both,MO1,Tillering,Tourist herbivore,0.274,0.209,0.22,0.016,0.766
2017,Both,MO1,Tillering,Detritivore,0.445,0.194,0.442,0.094,0.824
2017,Both,MO1,Flowering,Rice herbivore,0.767,0.206,0.848,0.302,0.984
2017,Both,MO1,Flowering,Tourist herbivore,0.203,0.197,0.12,0.006,0.656
2017,Both,MO1,Flowering,Detritivore,0.03,0.033,0.019,0.002,0.119
2017,Both,MO1,Ripening,Rice herbivore,0.88,0.126,0.93,0.545,0.994
2017,Both,MO1,Ripening,Tourist herbivore,0.11,0.122,0.06,0.003,0.442
2017,Both,MO1,Ripening,Detritivore,0.01,0.015,0.005,0,0.051
2017,Both,SC1,Tillering,Rice herbivore,0.219,0.115,0.208,0.043,0.47
2017,Both,SC1,Tillering,Tourist herbivore,0.095,0.087,0.071,0.007,0.324
2017,Both,SC1,Tillering,Detritivore,0.685,0.146,0.694,0.37,0.933
2017,Both,SC1,Flowering,Rice herbivore,0.862,0.089,0.881,0.636,0.976
2017,Both,SC1,Flowering,Tourist herbivore,0.075,0.068,0.054,0.006,0.245
2017,Both,SC1,Flowering,Detritivore,0.063,0.056,0.046,0.008,0.216
2017,Both,SC1,Ripening,Rice herbivore,0.943,0.049,0.956,0.809,0.994
2017,Both,SC1,Ripening,Tourist herbivore,0.037,0.038,0.025,0.002,0.142
2017,Both,SC1,Ripening,Detritivore,0.02,0.029,0.01,0.001,0.102
2017,Both,SO1,Tillering,Rice herbivore,0.133,0.083,0.119,0.018,0.331
2017,Both,SO1,Tillering,Tourist herbivore,0.086,0.078,0.063,0.006,0.284
2017,Both,SO1,Tillering,Detritivore,0.781,0.12,0.795,0.522,0.962
2017,Both,SO1,Flowering,Rice herbivore,0.784,0.134,0.812,0.46,0.959
2017,Both,SO1,Flowering,Tourist herbivore,0.103,0.087,0.077,0.008,0.328
2017,Both,SO1,Flowering,Detritivore,0.114,0.1,0.083,0.014,0.404
2017,Both,SO1,Ripening,Rice herbivore,0.911,0.067,0.929,0.747,0.989
2017,Both,SO1,Ripening,Tourist herbivore,0.053,0.048,0.039,0.004,0.179
2017,Both,SO1,Ripening,Detritivore,0.036,0.043,0.02,0.002,0.159
2017,Spider,LC1,Tillering,Rice herbivore,0.248,0.05,0.245,0.163,0.356
2017,Spider,LC1,Tillering,Tourist herbivore,0.283,0.074,0.288,0.116,0.417
2017,Spider,LC1,Tillering,Detritivore,0.469,0.091,0.46,0.316,0.685
2017,Spider,LC1,Flowering,Rice herbivore,0.829,0.05,0.832,0.721,0.916
2017,Spider,LC1,Flowering,Tourist herbivore,0.145,0.047,0.142,0.066,0.247
2017,Spider,LC1,Flowering,Detritivore,0.026,0.018,0.022,0.005,0.071
2017,Spider,LC1,Ripening,Rice herbivore,0.897,0.039,0.902,0.806,0.961
2017,Spider,LC1,Ripening,Tourist herbivore,0.091,0.037,0.087,0.032,0.177
2017,Spider,LC1,Ripening,Detritivore,0.012,0.013,0.008,0.001,0.048
2017,Spider,LO1,Tillering,Rice herbivore,0.464,0.127,0.466,0.215,0.71
2017,Spider,LO1,Tillering,Tourist herbivore,0.28,0.107,0.283,0.055,0.486
2017,Spider,LO1,Tillering,Detritivore,0.256,0.157,0.223,0.046,0.662
2017,Spider,LO1,Flowering,Rice herbivore,0.905,0.04,0.909,0.816,0.969
2017,Spider,LO1,Flowering,Tourist herbivore,0.086,0.039,0.082,0.022,0.172
2017,Spider,LO1,Flowering,Detritivore,0.009,0.01,0.006,0.001,0.04
2017,Spider,LO1,Ripening,Rice herbivore,0.943,0.03,0.948,0.872,0.986
2017,Spider,LO1,Ripening,Tourist herbivore,0.052,0.029,0.048,0.01,0.122
2017,Spider,LO1,Ripening,Detritivore,0.004,0.007,0.002,0,0.023
2017,Spider,MC1,Tillering,Rice herbivore,0.271,0.106,0.265,0.09,0.494
2017,Spider,MC1,Tillering,Tourist herbivore,0.24,0.111,0.236,0.043,0.474
2017,Spider,MC1,Tillering,Detritivore,0.488,0.171,0.483,0.169,0.836
2017,Spider,MC1,Flowering,Rice herbivore,0.85,0.061,0.856,0.712,0.949
2017,Spider,MC1,Flowering,Tourist herbivore,0.119,0.055,0.112,0.032,0.244
2017,Spider,MC1,Flowering,Detritivore,0.031,0.031,0.022,0.003,0.115
2017,Spider,MC1,Ripening,Rice herbivore,0.91,0.047,0.918,0.802,0.977
2017,Spider,MC1,Ripening,Tourist herbivore,0.075,0.041,0.068,0.016,0.173
2017,Spider,MC1,Ripening,Detritivore,0.015,0.022,0.008,0,0.078
2017,Spider,MO1,Tillering,Rice herbivore,0.074,0.042,0.065,0.019,0.175
2017,Spider,MO1,Tillering,Tourist herbivore,0.618,0.179,0.642,0.23,0.892
2017,Spider,MO1,Tillering,Detritivore,0.308,0.189,0.274,0.039,0.732
2017,Spider,MO1,Flowering,Rice herbivore,0.412,0.107,0.412,0.204,0.622
2017,Spider,MO1,Flowering,Tourist herbivore,0.556,0.104,0.554,0.358,0.761
2017,Spider,MO1,Flowering,Detritivore,0.032,0.034,0.022,0.002,0.117
2017,Spider,MO1,Ripening,Rice herbivore,0.551,0.116,0.554,0.316,0.767
2017,Spider,MO1,Ripening,Tourist herbivore,0.43,0.114,0.425,0.22,0.663
2017,Spider,MO1,Ripening,Detritivore,0.019,0.024,0.01,0.001,0.089
2017,Spider,SC1,Tillering,Rice herbivore,0.221,0.109,0.216,0.042,0.446
2017,Spider,SC1,Tillering,Tourist herbivore,0.073,0.051,0.062,0.01,0.202
2017,Spider,SC1,Tillering,Detritivore,0.705,0.125,0.707,0.457,0.924
2017,Spider,SC1,Flowering,Rice herbivore,0.885,0.077,0.905,0.687,0.975
2017,Spider,SC1,Flowering,Tourist herbivore,0.054,0.044,0.042,0.006,0.165
2017,Spider,SC1,Flowering,Detritivore,0.062,0.055,0.044,0.007,0.217
2017,Spider,SC1,Ripening,Rice herbivore,0.932,0.065,0.953,0.743,0.992
2017,Spider,SC1,Ripening,Tourist herbivore,0.034,0.033,0.025,0.003,0.123
2017,Spider,SC1,Ripening,Detritivore,0.033,0.05,0.016,0.001,0.181
2017,Spider,SO1,Tillering,Rice herbivore,0.105,0.066,0.091,0.018,0.27
2017,Spider,SO1,Tillering,Tourist herbivore,0.086,0.056,0.075,0.01,0.224
2017,Spider,SO1,Tillering,Detritivore,0.809,0.096,0.822,0.6,0.958
2017,Spider,SO1,Flowering,Rice herbivore,0.759,0.128,0.779,0.463,0.946
2017,Spider,SO1,Flowering,Tourist herbivore,0.112,0.074,0.096,0.015,0.286
2017,Spider,SO1,Flowering,Detritivore,0.13,0.103,0.099,0.015,0.408
2017,Spider,SO1,Ripening,Rice herbivore,0.86,0.09,0.878,0.645,0.977
2017,Spider,SO1,Ripening,Tourist herbivore,0.075,0.055,0.062,0.009,0.214
2017,Spider,SO1,Ripening,Detritivore,0.066,0.07,0.04,0.003,0.259
2017,Ladybeetle,LC1,Flowering,Rice herbivore,0.902,0.131,0.934,0.456,0.991
2017,Ladybeetle,LC1,Flowering,Tourist herbivore,0.054,0.124,0.02,0,0.498
2017,Ladybeetle,LC1,Flowering,Detritivore,0.045,0.041,0.033,0.001,0.151
2017,Ladybeetle,LC1,Ripening,Rice herbivore,0.955,0.137,0.984,0.498,0.998
2017,Ladybeetle,LC1,Ripening,Tourist herbivore,0.033,0.135,0.005,0,0.472
2017,Ladybeetle,LC1,Ripening,Detritivore,0.012,0.014,0.007,0,0.049
2017,Ladybeetle,LO1,Ripening,Rice herbivore,0.944,0.143,0.984,0.474,0.999
2017,Ladybeetle,LO1,Ripening,Tourist herbivore,0.038,0.138,0.004,0,0.518
2017,Ladybeetle,LO1,Ripening,Detritivore,0.018,0.032,0.006,0,0.11
2017,Ladybeetle,MC1,Tillering,Rice herbivore,0.803,0.228,0.895,0.139,0.998
2017,Ladybeetle,MC1,Tillering,Tourist herbivore,0.08,0.165,0.014,0,0.657
2017,Ladybeetle,MC1,Tillering,Detritivore,0.118,0.165,0.042,0,0.605
2017,Ladybeetle,MO1,Tillering,Rice herbivore,0.74,0.239,0.804,0.153,0.998
2017,Ladybeetle,MO1,Tillering,Tourist herbivore,0.086,0.162,0.019,0,0.622
2017,Ladybeetle,MO1,Tillering,Detritivore,0.173,0.198,0.083,0,0.656
2017,Ladybeetle,MO1,Flowering,Rice herbivore,0.792,0.188,0.839,0.311,0.996
2017,Ladybeetle,MO1,Flowering,Tourist herbivore,0.085,0.141,0.028,0,0.53
2017,Ladybeetle,MO1,Flowering,Detritivore,0.123,0.138,0.068,0.001,0.484
2017,Ladybeetle,MO1,Ripening,Rice herbivore,0.914,0.141,0.959,0.515,0.999
2017,Ladybeetle,MO1,Ripening,Tourist herbivore,0.046,0.128,0.008,0,0.442
2017,Ladybeetle,MO1,Ripening,Detritivore,0.04,0.059,0.015,0,0.222
2017,Ladybeetle,SC1,Flowering,Rice herbivore,0.863,0.16,0.919,0.407,0.997
2017,Ladybeetle,SC1,Flowering,Tourist herbivore,0.069,0.133,0.019,0,0.5
2017,Ladybeetle,SC1,Flowering,Detritivore,0.068,0.091,0.032,0.001,0.324
2017,Ladybeetle,SC1,Ripening,Rice herbivore,0.94,0.138,0.98,0.565,0.999
2017,Ladybeetle,SC1,Ripening,Tourist herbivore,0.039,0.131,0.005,0,0.394
2017,Ladybeetle,SC1,Ripening,Detritivore,0.022,0.039,0.007,0,0.136
2017,Ladybeetle,SO1,Ripening,Rice herbivore,0.938,0.143,0.981,0.521,0.999
2017,Ladybeetle,SO1,Ripening,Tourist herbivore,0.039,0.134,0.005,0,0.477
2017,Ladybeetle,SO1,Ripening,Detritivore,0.023,0.044,0.007,0,0.165
2018,Both,LC1,Tillering,Rice herbivore,0.389,0.194,0.383,0.053,0.773
2018,Both,LC1,Tillering,Tourist herbivore,0.178,0.168,0.117,0.008,0.594
2018,Both,LC1,Tillering,Detritivore,0.432,0.225,0.398,0.077,0.911
2018,Both,LC1,Flowering,Rice herbivore,0.883,0.114,0.923,0.559,0.991
2018,Both,LC1,Flowering,Tourist herbivore,0.087,0.1,0.049,0.004,0.38
2018,Both,LC1,Flowering,Detritivore,0.03,0.053,0.013,0.001,0.183
2018,Both,LC1,Ripening,Rice herbivore,0.952,0.049,0.969,0.826,0.997
2018,Both,LC1,Ripening,Tourist herbivore,0.04,0.046,0.024,0.002,0.161
2018,Both,LC1,Ripening,Detritivore,0.008,0.013,0.003,0,0.045
2018,Both,LC2,Tillering,Rice herbivore,0.309,0.174,0.288,0.045,0.694
2018,Both,LC2,Tillering,Tourist herbivore,0.174,0.144,0.139,0.009,0.544
2018,Both,LC2,Tillering,Detritivore,0.517,0.213,0.524,0.107,0.902
2018,Both,LC2,Ripening,Rice herbivore,0.932,0.073,0.956,0.732,0.995
2018,Both,LC2,Ripening,Tourist herbivore,0.056,0.067,0.033,0.002,0.244
2018,Both,LC2,Ripening,Detritivore,0.012,0.021,0.005,0,0.071
2018,Both,LC3,Tillering,Rice herbivore,0.669,0.108,0.671,0.445,0.876
2018,Both,LC3,Tillering,Tourist herbivore,0.09,0.075,0.069,0.007,0.281
2018,Both,LC3,Tillering,Detritivore,0.241,0.11,0.234,0.057,0.475
2018,Both,LC3,Flowering,Rice herbivore,0.969,0.028,0.977,0.901,0.995
2018,Both,LC3,Flowering,Tourist herbivore,0.025,0.027,0.016,0.002,0.092
2018,Both,LC3,Flowering,Detritivore,0.006,0.006,0.005,0.001,0.022
2018,Both,LC3,Ripening,Rice herbivore,0.987,0.012,0.991,0.955,0.999
2018,Both,LC3,Ripening,Tourist herbivore,0.011,0.012,0.007,0.001,0.042
2018,Both,LC3,Ripening,Detritivore,0.002,0.002,0.001,0,0.008
2018,Both,LO1,Tillering,Rice herbivore,0.315,0.136,0.31,0.058,0.59
2018,Both,LO1,Tillering,Tourist herbivore,0.283,0.152,0.277,0.023,0.593
2018,Both,LO1,Tillering,Detritivore,0.402,0.172,0.387,0.106,0.79
2018,Both,LO1,Flowering,Rice herbivore,0.817,0.139,0.851,0.431,0.976
2018,Both,LO1,Flowering,Tourist herbivore,0.159,0.132,0.126,0.012,0.527
2018,Both,LO1,Flowering,Detritivore,0.024,0.029,0.015,0.002,0.104
2018,Both,LO1,Ripening,Rice herbivore,0.905,0.103,0.936,0.584,0.991
2018,Both,LO1,Ripening,Tourist herbivore,0.088,0.1,0.057,0.005,0.399
2018,Both,LO1,Ripening,Detritivore,0.007,0.011,0.004,0,0.037
2018,Both,LO2,Tillering,Rice herbivore,0.295,0.143,0.288,0.058,0.606
2018,Both,LO2,Tillering,Tourist herbivore,0.139,0.13,0.097,0.007,0.489
2018,Both,LO2,Tillering,Detritivore,0.565,0.187,0.567,0.184,0.896
2018,Both,LO2,Flowering,Rice herbivore,0.877,0.096,0.906,0.611,0.982
2018,Both,LO2,Flowering,Tourist herbivore,0.082,0.083,0.055,0.005,0.31
2018,Both,LO2,Flowering,Detritivore,0.04,0.045,0.026,0.004,0.169
2018,Both,LO2,Ripening,Rice herbivore,0.949,0.047,0.964,0.817,0.995
2018,Both,LO2,Ripening,Tourist herbivore,0.039,0.042,0.025,0.002,0.159
2018,Both,LO2,Ripening,Detritivore,0.012,0.017,0.006,0,0.058
2018,Both,LO3,Tillering,Rice herbivore,0.364,0.174,0.365,0.06,0.706
2018,Both,LO3,Tillering,Tourist herbivore,0.101,0.145,0.046,0.005,0.568
2018,Both,LO3,Tillering,Detritivore,0.536,0.198,0.527,0.143,0.906
2018,Both,LO3,Ripening,Rice herbivore,0.966,0.043,0.981,0.838,0.998
2018,Both,LO3,Ripening,Tourist herbivore,0.025,0.04,0.011,0.001,0.144
2018,Both,LO3,Ripening,Detritivore,0.01,0.015,0.005,0,0.049
2018,Both,MC1,Tillering,Rice herbivore,0.691,0.168,0.722,0.276,0.926
2018,Both,MC1,Tillering,Tourist herbivore,0.075,0.073,0.056,0.006,0.255
2018,Both,MC1,Tillering,Detritivore,0.234,0.171,0.188,0.027,0.659
2018,Both,MC1,Flowering,Rice herbivore,0.971,0.034,0.98,0.897,0.997
2018,Both,MC1,Flowering,Tourist herbivore,0.022,0.031,0.013,0.001,0.087
2018,Both,MC1,Flowering,Detritivore,0.007,0.011,0.004,0,0.033
2018,Both,MC1,Ripening,Rice herbivore,0.988,0.02,0.992,0.956,0.999
2018,Both,MC1,Ripening,Tourist herbivore,0.01,0.018,0.006,0.001,0.04
2018,Both,MC1,Ripening,Detritivore,0.002,0.005,0.001,0,0.011
2018,Both,MC2,Tillering,Rice herbivore,0.599,0.217,0.646,0.108,0.908
2018,Both,MC2,Tillering,Tourist herbivore,0.114,0.107,0.083,0.007,0.408
2018,Both,MC2,Tillering,Detritivore,0.287,0.219,0.221,0.033,0.829
2018,Both,MC2,Flowering,Rice herbivore,0.944,0.072,0.966,0.752,0.996
2018,Both,MC2,Flowering,Tourist herbivore,0.042,0.062,0.024,0.002,0.199
2018,Both,MC2,Flowering,Detritivore,0.014,0.029,0.005,0,0.087
2018,Both,MC2,Ripening,Rice herbivore,0.976,0.039,0.987,0.874,0.999
2018,Both,MC2,Ripening,Tourist herbivore,0.02,0.033,0.01,0.001,0.108
2018,Both,MC2,Ripening,Detritivore,0.004,0.014,0.001,0,0.026
2018,Both,MC3,Tillering,Rice herbivore,0.233,0.139,0.214,0.031,0.547
2018,Both,MC3,Tillering,Tourist herbivore,0.248,0.159,0.235,0.014,0.591
2018,Both,MC3,Tillering,Detritivore,0.518,0.206,0.509,0.138,0.915
2018,Both,MC3,Flowering,Rice herbivore,0.773,0.15,0.807,0.417,0.971
2018,Both,MC3,Flowering,Tourist herbivore,0.178,0.134,0.148,0.011,0.506
2018,Both,MC3,Flowering,Detritivore,0.049,0.066,0.027,0.003,0.239
2018,Both,MC3,Ripening,Rice herbivore,0.886,0.099,0.915,0.625,0.99
2018,Both,MC3,Ripening,Tourist herbivore,0.098,0.09,0.07,0.006,0.334
2018,Both,MC3,Ripening,Detritivore,0.016,0.03,0.007,0,0.097
2018,Both,MO1,Tillering,Rice herbivore,0.225,0.207,0.165,0.007,0.72
2018,Both,MO1,Tillering,Tourist herbivore,0.172,0.177,0.109,0.005,0.659
2018,Both,MO1,Tillering,Detritivore,0.602,0.278,0.618,0.097,0.984
2018,Both,MO1,Flowering,Rice herbivore,0.719,0.226,0.788,0.246,0.985
2018,Both,MO1,Flowering,Tourist herbivore,0.148,0.145,0.101,0.006,0.554
2018,Both,MO1,Flowering,Detritivore,0.133,0.183,0.036,0.002,0.619
2018,Both,MO1,Ripening,Rice herbivore,0.872,0.119,0.913,0.573,0.994
2018,Both,MO1,Ripening,Tourist herbivore,0.087,0.094,0.055,0.003,0.352
2018,Both,MO1,Ripening,Detritivore,0.041,0.066,0.011,0,0.237
2018,Both,MO2,Tillering,Rice herbivore,0.161,0.115,0.135,0.023,0.431
2018,Both,MO2,Tillering,Tourist herbivore,0.452,0.241,0.507,0.007,0.831
