
#################################################################
# Summary Statistics
#################################################################

DIC = 4766.101

                                  Mean    SD  2.5%    5%   25%   50%   75%
Epsilon.1                        0.611 0.132 0.375 0.428 0.527 0.601 0.686
Epsilon.2                        0.912 0.153 0.653 0.688 0.805 0.900 1.000
p.GC_2017.Flowering.Detritivore  0.045 0.041 0.001 0.002 0.015 0.033 0.062
p.GC_2017.Flowering.Rice_herb    0.902 0.131 0.456 0.752 0.891 0.934 0.963
p.GC_2017.Flowering.Tour_herb    0.054 0.124 0.000 0.001 0.007 0.020 0.047
p.GC_2017.Ripening.Detritivore   0.012 0.014 0.000 0.000 0.003 0.007 0.016
p.GC_2017.Ripening.Rice_herb     0.955 0.137 0.498 0.914 0.969 0.984 0.992
p.GC_2017.Ripening.Tour_herb     0.033 0.135 0.000 0.000 0.002 0.005 0.013
p.GO_2017.Ripening.Detritivore   0.018 0.032 0.000 0.000 0.002 0.006 0.020
p.GO_2017.Ripening.Rice_herb     0.944 0.143 0.474 0.821 0.954 0.984 0.994
p.GO_2017.Ripening.Tour_herb     0.038 0.138 0.000 0.000 0.001 0.004 0.017
p.LC1_2018.Tillering.Detritivore 0.074 0.109 0.000 0.001 0.006 0.030 0.097
p.LC1_2018.Tillering.Rice_herb   0.859 0.191 0.189 0.464 0.819 0.931 0.979
p.LC1_2018.Tillering.Tour_herb   0.067 0.159 0.000 0.000 0.003 0.012 0.048
p.LC1_2018.Ripening.Detritivore  0.014 0.024 0.000 0.000 0.001 0.005 0.016
p.LC1_2018.Ripening.Rice_herb    0.950 0.138 0.510 0.844 0.961 0.986 0.995
p.LC1_2018.Ripening.Tour_herb    0.036 0.135 0.000 0.000 0.001 0.004 0.015
p.LC1_2019.Tillering.Detritivore 0.080 0.126 0.000 0.001 0.007 0.028 0.094
p.LC1_2019.Tillering.Rice_herb   0.849 0.204 0.171 0.392 0.809 0.930 0.978
p.LC1_2019.Tillering.Tour_herb   0.071 0.164 0.000 0.000 0.003 0.012 0.053
p.LC1_2019.Flowering.Detritivore 0.052 0.074 0.000 0.001 0.008 0.024 0.065
p.LC1_2019.Flowering.Rice_herb   0.884 0.160 0.406 0.591 0.859 0.940 0.976
p.LC1_2019.Flowering.Tour_herb   0.064 0.142 0.000 0.000 0.004 0.016 0.057
p.LC1_2019.Ripening.Detritivore  0.014 0.025 0.000 0.000 0.002 0.006 0.016
p.LC1_2019.Ripening.Rice_herb    0.948 0.144 0.378 0.851 0.961 0.985 0.995
p.LC1_2019.Ripening.Tour_herb    0.037 0.141 0.000 0.000 0.001 0.004 0.016
p.LC2_2018.Ripening.Detritivore  0.023 0.045 0.000 0.000 0.002 0.006 0.021
p.LC2_2018.Ripening.Rice_herb    0.936 0.147 0.457 0.749 0.945 0.982 0.994
p.LC2_2018.Ripening.Tour_herb    0.042 0.139 0.000 0.000 0.001 0.005 0.019
p.LC2_2019.Tillering.Detritivore 0.102 0.157 0.000 0.001 0.007 0.032 0.120
p.LC2_2019.Tillering.Rice_herb   0.831 0.225 0.112 0.288 0.785 0.925 0.977
p.LC2_2019.Tillering.Tour_herb   0.067 0.167 0.000 0.000 0.003 0.012 0.045
p.LC2_2019.Flowering.Detritivore 0.065 0.096 0.000 0.001 0.008 0.027 0.079
p.LC2_2019.Flowering.Rice_herb   0.872 0.171 0.300 0.530 0.842 0.935 0.974
p.LC2_2019.Flowering.Tour_herb   0.063 0.142 0.000 0.000 0.004 0.016 0.052
p.LC3_2018.Tillering.Detritivore 0.081 0.112 0.000 0.001 0.007 0.032 0.109
p.LC3_2018.Tillering.Rice_herb   0.854 0.187 0.197 0.502 0.806 0.924 0.977
p.LC3_2018.Tillering.Tour_herb   0.066 0.152 0.000 0.000 0.003 0.013 0.050
p.LC3_2018.Flowering.Detritivore 0.052 0.069 0.001 0.001 0.009 0.026 0.067
p.LC3_2018.Flowering.Rice_herb   0.888 0.148 0.421 0.631 0.864 0.935 0.974
p.LC3_2018.Flowering.Tour_herb   0.060 0.129 0.000 0.001 0.004 0.016 0.053
p.LC3_2018.Ripening.Detritivore  0.015 0.026 0.000 0.000 0.002 0.006 0.016
p.LC3_2018.Ripening.Rice_herb    0.948 0.140 0.388 0.837 0.962 0.985 0.994
p.LC3_2018.Ripening.Tour_herb    0.037 0.136 0.000 0.000 0.001 0.004 0.015
p.LC3_2019.Flowering.Detritivore 0.057 0.078 0.000 0.001 0.008 0.026 0.071
p.LC3_2019.Flowering.Rice_herb   0.880 0.160 0.344 0.572 0.847 0.935 0.976
p.LC3_2019.Flowering.Tour_herb   0.064 0.139 0.000 0.000 0.004 0.016 0.055
