
#################################################################
# Summary Statistics
#################################################################

DIC = 5670.209

                                  Mean    SD  2.5%    5%   25%   50%   75%
Epsilon.1                        0.343 0.050 0.248 0.259 0.309 0.344 0.378
Epsilon.2                        0.507 0.059 0.406 0.418 0.465 0.502 0.543
p.GC_2017.Tillering.Detritivore  0.564 0.133 0.299 0.333 0.467 0.581 0.669
p.GC_2017.Tillering.Rice_herb    0.263 0.068 0.149 0.162 0.213 0.258 0.305
p.GC_2017.Tillering.Tour_herb    0.172 0.104 0.038 0.047 0.087 0.145 0.246
p.GC_2017.Flowering.Detritivore  0.032 0.020 0.007 0.009 0.018 0.028 0.042
p.GC_2017.Flowering.Rice_herb    0.871 0.057 0.736 0.762 0.840 0.879 0.913
p.GC_2017.Flowering.Tour_herb    0.097 0.055 0.026 0.031 0.056 0.084 0.125
p.GC_2017.Ripening.Detritivore   0.009 0.009 0.001 0.001 0.003 0.006 0.012
p.GC_2017.Ripening.Rice_herb     0.945 0.028 0.879 0.893 0.931 0.950 0.966
p.GC_2017.Ripening.Tour_herb     0.045 0.025 0.012 0.014 0.027 0.039 0.059
p.GO_2017.Tillering.Detritivore  0.396 0.208 0.067 0.091 0.234 0.372 0.542
p.GO_2017.Tillering.Rice_herb    0.408 0.166 0.123 0.150 0.285 0.397 0.516
p.GO_2017.Tillering.Tour_herb    0.196 0.136 0.012 0.020 0.080 0.174 0.291
p.GO_2017.Flowering.Detritivore  0.020 0.022 0.001 0.002 0.006 0.012 0.024
p.GO_2017.Flowering.Rice_herb    0.900 0.065 0.745 0.777 0.861 0.913 0.949
p.GO_2017.Flowering.Tour_herb    0.081 0.062 0.006 0.009 0.033 0.065 0.113
p.GO_2017.Ripening.Detritivore   0.006 0.009 0.000 0.000 0.001 0.003 0.006
p.GO_2017.Ripening.Rice_herb     0.956 0.033 0.870 0.890 0.941 0.964 0.980
p.GO_2017.Ripening.Tour_herb     0.038 0.032 0.003 0.004 0.015 0.030 0.052
p.LC1_2018.Tillering.Detritivore 0.432 0.225 0.077 0.113 0.263 0.398 0.581
p.LC1_2018.Tillering.Rice_herb   0.389 0.194 0.053 0.081 0.235 0.383 0.532
p.LC1_2018.Tillering.Tour_herb   0.178 0.168 0.008 0.011 0.045 0.117 0.270
p.LC1_2018.Flowering.Detritivore 0.030 0.053 0.001 0.002 0.007 0.013 0.029
p.LC1_2018.Flowering.Rice_herb   0.883 0.114 0.559 0.644 0.842 0.923 0.962
