
#################################################################
# Summary Statistics
#################################################################

DIC = 4991.904

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
Epsilon.1                        0.173 0.025 0.129 0.135 0.155 0.170 0.189 0.218
Epsilon.2                        0.320 0.038 0.253 0.262 0.292 0.318 0.344 0.388
p.GC_2017.Tillering.Detritivore  0.433 0.071 0.309 0.330 0.384 0.428 0.477 0.554
p.GC_2017.Tillering.Rice_herb    0.216 0.043 0.140 0.151 0.185 0.214 0.243 0.288
p.GC_2017.Tillering.Tour_herb    0.351 0.068 0.210 0.235 0.305 0.354 0.397 0.458
p.GC_2017.Flowering.Detritivore  0.073 0.028 0.030 0.035 0.053 0.070 0.089 0.126
p.GC_2017.Flowering.Rice_herb    0.797 0.048 0.697 0.714 0.764 0.800 0.833 0.870
p.GC_2017.Flowering.Tour_herb    0.130 0.044 0.057 0.065 0.098 0.126 0.157 0.210
p.GC_2017.Ripening.Detritivore   0.108 0.042 0.033 0.044 0.079 0.104 0.134 0.183
p.GC_2017.Ripening.Rice_herb     0.812 0.050 0.705 0.724 0.779 0.815 0.846 0.889
p.GC_2017.Ripening.Tour_herb     0.081 0.034 0.028 0.034 0.055 0.076 0.101 0.144
p.GO_2017.Tillering.Detritivore  0.207 0.101 0.047 0.061 0.132 0.199 0.268 0.384
p.GO_2017.Tillering.Rice_herb    0.438 0.105 0.240 0.273 0.367 0.432 0.505 0.615
p.GO_2017.Tillering.Tour_herb    0.355 0.110 0.138 0.173 0.281 0.355 0.425 0.539
p.GO_2017.Flowering.Detritivore  0.021 0.016 0.003 0.004 0.010 0.017 0.027 0.050
p.GO_2017.Flowering.Rice_herb    0.903 0.040 0.812 0.832 0.879 0.907 0.932 0.959
p.GO_2017.Flowering.Tour_herb    0.076 0.036 0.021 0.026 0.049 0.071 0.098 0.144
p.GO_2017.Ripening.Detritivore   0.031 0.023 0.004 0.005 0.015 0.025 0.041 0.076
p.GO_2017.Ripening.Rice_herb     0.921 0.037 0.829 0.849 0.901 0.927 0.947 0.969
p.GO_2017.Ripening.Tour_herb     0.048 0.028 0.010 0.013 0.028 0.042 0.062 0.105
p.LC1_2018.Tillering.Detritivore 0.656 0.157 0.310 0.376 0.562 0.670 0.770 0.892
p.LC1_2018.Tillering.Rice_herb   0.044 0.053 0.006 0.007 0.016 0.027 0.049 0.154
p.LC1_2018.Tillering.Tour_herb   0.300 0.145 0.059 0.082 0.194 0.287 0.386 0.563
p.LC1_2018.Flowering.Detritivore 0.338 0.164 0.049 0.072 0.215 0.340 0.450 0.606
p.LC1_2018.Flowering.Rice_herb   0.355 0.184 0.092 0.115 0.221 0.324 0.442 0.751
p.LC1_2018.Flowering.Tour_herb   0.307 0.148 0.059 0.085 0.202 0.293 0.402 0.572
p.LC1_2019.Tillering.Detritivore 0.201 0.071 0.071 0.093 0.154 0.197 0.246 0.326
p.LC1_2019.Tillering.Rice_herb   0.481 0.072 0.343 0.364 0.435 0.480 0.530 0.597
p.LC1_2019.Tillering.Tour_herb   0.318 0.071 0.185 0.207 0.269 0.315 0.363 0.439
p.LC1_2019.Flowering.Detritivore 0.018 0.011 0.004 0.005 0.010 0.016 0.023 0.038
p.LC1_2019.Flowering.Rice_herb   0.919 0.032 0.842 0.859 0.902 0.924 0.941 0.961
p.LC1_2019.Flowering.Tour_herb   0.063 0.029 0.022 0.026 0.041 0.059 0.078 0.118
p.LC1_2019.Ripening.Detritivore  0.027 0.017 0.005 0.007 0.015 0.024 0.035 0.059
p.LC1_2019.Ripening.Rice_herb    0.934 0.027 0.869 0.884 0.919 0.938 0.953 0.971
p.LC1_2019.Ripening.Tour_herb    0.039 0.021 0.010 0.013 0.024 0.035 0.050 0.081
p.LC2_2018.Tillering.Detritivore 0.490 0.189 0.122 0.169 0.360 0.485 0.620 0.808
p.LC2_2018.Tillering.Rice_herb   0.250 0.146 0.027 0.044 0.137 0.234 0.342 0.515
p.LC2_2018.Tillering.Tour_herb   0.260 0.150 0.042 0.060 0.151 0.237 0.340 0.557
p.LC2_2019.Tillering.Detritivore 0.491 0.114 0.291 0.323 0.412 0.481 0.561 0.695
p.LC2_2019.Tillering.Rice_herb   0.362 0.101 0.141 0.177 0.299 0.367 0.430 0.516
p.LC2_2019.Tillering.Tour_herb   0.148 0.072 0.033 0.046 0.095 0.140 0.191 0.275
p.LC2_2019.Flowering.Detritivore 0.064 0.048 0.017 0.020 0.034 0.052 0.076 0.152
p.LC2_2019.Flowering.Rice_herb   0.896 0.061 0.732 0.778 0.876 0.911 0.934 0.959
p.LC2_2019.Flowering.Tour_herb   0.040 0.028 0.007 0.009 0.021 0.034 0.051 0.095
p.LC3_2018.Tillering.Detritivore 0.253 0.102 0.068 0.090 0.182 0.246 0.321 0.428
p.LC3_2018.Tillering.Rice_herb   0.637 0.100 0.429 0.471 0.574 0.637 0.703 0.804
