"d13C","d15N","Farm","Stage"
-26.7,8.32,"MO_2017","Tillering"
-24.84,10.33,"MO_2017","Tillering"
-26.11,9.14,"MC_2017","Tillering"
-28.07,9.16,"MO_2017","Flowering"
-23.92,9.25,"MO_2017","Flowering"
-28.83,6.94,"GC_2017","Flowering"
-29.08,6.95,"OC_2017","Flowering"
-23.95,8.62,"OC_2017","Flowering"
-29.23,7.14,"MO_2017","Ripening"
-28.38,8.91,"MO_2017","Ripening"
-27.68,9.01,"MO_2017","Ripening"
-29.74,8.01,"GO_2017","Ripening"
-30.07,8.36,"GO_2017","Ripening"
-29.88,7,"GO_2017","Ripening"
-29.32,10.46,"GC_2017","Ripening"
-28.42,9.62,"GC_2017","Ripening"
-28.25,8.87,"OO_2017","Ripening"
-30.29,7.25,"OO_2017","Ripening"
-27.37,10.22,"OO_2017","Ripening"
-29.1,8.33,"OC_2017","Ripening"
-29.26,8.22,"OC_2017","Ripening"
-26.8,10.55,"OC_2017","Ripening"
-21.8522634521728,8.54545293261834,"MO2_2018","Tillering"
-21.6072848177196,8.23903910619856,"MO3_2018","Tillering"
-26.8711003441086,11.0290942647076,"MC1_2018","Tillering"
-27.3669470454942,6.03681827748067,"MC1_2018","Tillering"
-23.9641669289684,8.12292203826155,"LO1_2018","Tillering"
-26.4336749769633,8.71473593978913,"LO1_2018","Tillering"
-24.5267782426244,8.56151880195531,"LO1_2018","Tillering"
-28.462589116153,7.54275529618921,"LC1_2018","Tillering"
-27.9969248551106,11.2044664975865,"LO2_2018","Tillering"
-27.8960650300132,10.4976152947953,"LO3_2018","Tillering"
-27.3301559369577,9.85688582157583,"LO3_2018","Tillering"
-28.0955384621354,10.6800741785787,"LO3_2018","Tillering"
-27.9712961423658,8.97688300629913,"LC3_2018","Tillering"
-26.2201275872056,2.9565890350023,"SO1_2018","Tillering"
-27.439322713537,8.36003150755745,"LC3_2018","Tillering"
-25.895816181259,9.43690182279378,"SC1_2018","Tillering"
-25.0079906834742,8.9339965439695,"MO3_2018","Flowering"
-27.5077061170059,8.2267485104782,"LO1_2018","Flowering"
-28.1652879765045,6.19249964289512,"LC3_2018","Flowering"
-28.0799418387981,8.41158918817328,"SC1_2018","Flowering"
-26.3702750359838,8.65296759227869,"SC1_2018","Flowering"
-28.3994076431475,9.35545885874104,"MO2_2018","Flowering"
-28.8213275593985,7.57291012953114,"MO1_2018","Ripening"
-25.3436284689451,5.70342918505068,"MC2_2018","Ripening"
-26.8688522737477,7.60475102141005,"MC2_2018","Ripening"
-19.5280131583831,7.00810357025574,"LO1_2018","Ripening"
-29.1419418851877,6.72767961692312,"LO2_2018","Ripening"
-27.4375690649824,6.56659852431102,"LO2_2018","Ripening"
-29.8429967715209,6.13363765816424,"LO3_2018","Ripening"
-29.7237246386379,6.49348813504734,"LO3_2018","Ripening"
-29.5721344292046,6.85394502388584,"LC1_2018","Ripening"
-28.9737735053842,6.65395678553678,"LC1_2018","Ripening"
-29.3337438568379,5.83860010043733,"LC1_2018","Ripening"
-29.0887783632132,7.65822209735706,"LC2_2018","Ripening"
-29.931421400939,5.62846129888489,"LC3_2018","Ripening"
-28.7943181726844,9.97310333072508,"SO1_2018","Ripening"
-29.1180328980585,8.09488421686913,"SO1_2018","Ripening"
-28.0710439304706,7.83991742480659,"SC1_2018","Ripening"
-28.8820303171361,6.64611988241212,"SC1_2018","Ripening"
-14.68,8.27,"MO2_2019","Tillering"
-23.91139588,9.584181724,"MO3_2019","Tillering"
-23.48813711,7.346634155,"LC1_2019","Tillering"
-27.53333976,11.4334501,"LC2_2019","Tillering"
-28.01711112,1.324521169,"LO3_2019","Tillering"
-27.96921557,5.999553952,"LC1_2019","Flowering"
-28.64822149,7.014529088,"LC2_2019","Flowering"
-28.92094764,8.443884677,"LC3_2019","Flowering"
-29.02647501,5.818656483,"SC1_2019","Flowering"
-28.73045123,7.6333328,"SO1_2019","Flowering"
-28.05896831,8.458700304,"SO1_2019","Flowering"
-27.1144836,7.523027576,"MC3_2019","Flowering"
-20.10996757,7.778192544,"MC3_2019","Flowering"
-27.38758189,7.162027528,"MC3_2019","Flowering"
-26.99276685,7.477764486,"MO3_2019","Flowering"
-24.07355048,7.565951263,"MO3_2019","Flowering"
-27.91279017,10.89005561,"MO2_2019","Flowering"
-29.06568543,9.484978945,"MO2_2019","Flowering"
-28.10218633,7.137106808,"MO2_2019","Flowering"
-30.32244625,5.041685352,"MC2_2019","Flowering"
-30.09375463,5.127277751,"MC2_2019","Flowering"
-28.93183631,9.054462334,"SO1_2019","Ripening"
-24.59672257,10.51518725,"MO1_2019","Ripening"
-28.73033906,5.717698403,"MC3_2019","Ripening"
-28.50599656,7.163910814,"MC3_2019","Ripening"
-29.03367852,6.497578121,"MC3_2019","Ripening"
-29.63825282,4.96804386,"LC1_2019","Ripening"
-27.41064944,7.057682181,"LO1_2019","Ripening"
-28.91342106,7.141333496,"LO1_2019","Ripening"
-29.4287177,8.420908333,"LO1_2019","Ripening"
-29.59847134,7.049554715,"LO1_2019","Ripening"
-29.90479815,6.015718686,"LC3_2019","Ripening"
-29.69561417,5.042301885,"LO3_2019","Ripening"
-29.28797121,4.443974742,"LO3_2019","Ripening"
-27.58315362,7.061047618,"MO3_2019","Ripening"
-28.39241985,6.783408164,"MO3_2019","Ripening"
-24.73313376,7.270978821,"MO3_2019","Ripening"
-16.57213101,10.21364846,"MO3_2019","Ripening"
-25.53652737,6.226497294,"MO3_2019","Ripening"
