
#################################################################
# Summary Statistics
#################################################################

DIC = 4904.751

                                  Mean    SD  2.5%    5%   25%   50%   75%    95%
Epsilon.1                        1.885 0.678 0.628 0.735 1.455 1.860 2.283  3.014
Epsilon.2                        6.616 2.645 0.916 1.035 5.518 6.794 8.273 10.433
p.GC_2017.Flowering.Detritivore  0.024 0.025 0.001 0.001 0.007 0.017 0.033  0.074
p.GC_2017.Flowering.Predator     0.761 0.236 0.050 0.106 0.760 0.841 0.895  0.947
p.GC_2017.Flowering.Rice_herb    0.188 0.229 0.012 0.021 0.062 0.106 0.184  0.825
p.GC_2017.Flowering.Tour_herb    0.027 0.030 0.000 0.001 0.007 0.017 0.036  0.089
p.GC_2017.Ripening.Detritivore   0.008 0.010 0.000 0.000 0.002 0.004 0.010  0.027
p.GC_2017.Ripening.Predator      0.823 0.292 0.009 0.021 0.865 0.942 0.973  0.991
p.GC_2017.Ripening.Rice_herb     0.161 0.289 0.002 0.003 0.014 0.040 0.113  0.961
p.GC_2017.Ripening.Tour_herb     0.008 0.015 0.000 0.000 0.001 0.004 0.010  0.031
p.GO_2017.Ripening.Detritivore   0.010 0.019 0.000 0.000 0.001 0.003 0.010  0.043
p.GO_2017.Ripening.Predator      0.825 0.292 0.006 0.018 0.857 0.947 0.981  0.996
p.GO_2017.Ripening.Rice_herb     0.155 0.286 0.001 0.001 0.009 0.031 0.110  0.956
p.GO_2017.Ripening.Tour_herb     0.010 0.024 0.000 0.000 0.001 0.003 0.010  0.044
p.LC1_2018.Tillering.Detritivore 0.047 0.079 0.000 0.000 0.004 0.018 0.055  0.194
p.LC1_2018.Tillering.Predator    0.625 0.275 0.013 0.046 0.454 0.701 0.846  0.947
p.LC1_2018.Tillering.Rice_herb   0.274 0.265 0.004 0.011 0.070 0.177 0.401  0.869
p.LC1_2018.Tillering.Tour_herb   0.054 0.094 0.000 0.000 0.004 0.016 0.063  0.247
p.LC1_2018.Ripening.Detritivore  0.008 0.015 0.000 0.000 0.001 0.002 0.008  0.033
p.LC1_2018.Ripening.Predator     0.832 0.294 0.005 0.017 0.870 0.959 0.986  0.997
p.LC1_2018.Ripening.Rice_herb    0.152 0.289 0.000 0.001 0.006 0.024 0.098  0.958
p.LC1_2018.Ripening.Tour_herb    0.009 0.020 0.000 0.000 0.001 0.002 0.008  0.038
p.LC1_2019.Tillering.Detritivore 0.063 0.102 0.000 0.000 0.005 0.020 0.073  0.279
p.LC1_2019.Tillering.Predator    0.531 0.281 0.009 0.028 0.309 0.567 0.764  0.935
p.LC1_2019.Tillering.Rice_herb   0.340 0.282 0.006 0.014 0.100 0.271 0.530  0.918
p.LC1_2019.Tillering.Tour_herb   0.067 0.111 0.000 0.000 0.004 0.019 0.079  0.304
