
#################################################################
# Summary Statistics
#################################################################

DIC = 5560.759

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
Epsilon.1                        0.598 0.096 0.432 0.454 0.529 0.589 0.657 0.764
Epsilon.2                        0.551 0.084 0.411 0.429 0.491 0.542 0.600 0.702
p.GC_2017.Tillering.Detritivore  0.613 0.083 0.435 0.468 0.562 0.619 0.671 0.735
p.GC_2017.Tillering.Predator     0.195 0.075 0.071 0.087 0.142 0.186 0.242 0.328
p.GC_2017.Tillering.Rice_herb    0.128 0.053 0.046 0.055 0.090 0.121 0.159 0.227
p.GC_2017.Tillering.Tour_herb    0.064 0.047 0.008 0.012 0.032 0.054 0.083 0.151
p.GC_2017.Flowering.Detritivore  0.068 0.035 0.017 0.022 0.042 0.063 0.088 0.133
p.GC_2017.Flowering.Predator     0.106 0.063 0.019 0.025 0.060 0.095 0.139 0.228
p.GC_2017.Flowering.Rice_herb    0.744 0.077 0.578 0.606 0.695 0.751 0.800 0.859
p.GC_2017.Flowering.Tour_herb    0.081 0.046 0.023 0.028 0.049 0.071 0.104 0.168
p.GC_2017.Ripening.Detritivore   0.019 0.018 0.002 0.002 0.007 0.013 0.026 0.055
p.GC_2017.Ripening.Predator      0.037 0.031 0.003 0.004 0.015 0.030 0.051 0.100
p.GC_2017.Ripening.Rice_herb     0.904 0.045 0.802 0.821 0.880 0.912 0.936 0.962
p.GC_2017.Ripening.Tour_herb     0.039 0.025 0.010 0.012 0.023 0.034 0.049 0.084
p.GO_2017.Tillering.Detritivore  0.408 0.210 0.071 0.101 0.240 0.386 0.553 0.785
p.GO_2017.Tillering.Predator     0.271 0.185 0.021 0.032 0.119 0.239 0.395 0.626
p.GO_2017.Tillering.Rice_herb    0.210 0.148 0.030 0.041 0.100 0.173 0.287 0.510
p.GO_2017.Tillering.Tour_herb    0.111 0.115 0.002 0.004 0.023 0.068 0.167 0.350
p.GO_2017.Flowering.Detritivore  0.043 0.052 0.002 0.003 0.011 0.025 0.054 0.137
p.GO_2017.Flowering.Predator     0.119 0.115 0.005 0.007 0.033 0.080 0.172 0.360
p.GO_2017.Flowering.Rice_herb    0.745 0.150 0.393 0.466 0.649 0.768 0.863 0.944
p.GO_2017.Flowering.Tour_herb    0.094 0.091 0.004 0.007 0.028 0.066 0.133 0.273
p.GO_2017.Ripening.Detritivore   0.012 0.018 0.000 0.000 0.002 0.006 0.014 0.046
p.GO_2017.Ripening.Predator      0.044 0.055 0.001 0.001 0.008 0.024 0.060 0.157
p.GO_2017.Ripening.Rice_herb     0.898 0.081 0.690 0.739 0.863 0.917 0.955 0.984
p.GO_2017.Ripening.Tour_herb     0.046 0.051 0.002 0.003 0.013 0.030 0.062 0.140
p.LC1_2018.Tillering.Detritivore 0.524 0.214 0.143 0.186 0.360 0.511 0.689 0.884
p.LC1_2018.Tillering.Predator    0.149 0.120 0.012 0.018 0.058 0.118 0.202 0.394
p.LC1_2018.Tillering.Rice_herb   0.247 0.176 0.021 0.030 0.098 0.209 0.364 0.578
p.LC1_2018.Tillering.Tour_herb   0.080 0.101 0.002 0.004 0.016 0.040 0.097 0.307
p.LC1_2018.Flowering.Detritivore 0.064 0.089 0.003 0.005 0.014 0.031 0.074 0.253
p.LC1_2018.Flowering.Predator    0.064 0.072 0.003 0.004 0.017 0.038 0.082 0.213
p.LC1_2018.Flowering.Rice_herb   0.797 0.159 0.387 0.468 0.724 0.844 0.919 0.968
p.LC1_2018.Flowering.Tour_herb   0.074 0.096 0.003 0.004 0.016 0.039 0.092 0.270
p.LC1_2018.Ripening.Detritivore  0.016 0.026 0.000 0.001 0.003 0.007 0.018 0.065
p.LC1_2018.Ripening.Predator     0.023 0.032 0.001 0.001 0.004 0.011 0.027 0.083
p.LC1_2018.Ripening.Rice_herb    0.925 0.075 0.731 0.786 0.900 0.949 0.975 0.991
p.LC1_2018.Ripening.Tour_herb    0.036 0.055 0.001 0.002 0.007 0.018 0.043 0.124
p.LC1_2019.Tillering.Detritivore 0.209 0.119 0.041 0.057 0.117 0.188 0.281 0.432
p.LC1_2019.Tillering.Predator    0.371 0.146 0.078 0.120 0.274 0.373 0.470 0.609
p.LC1_2019.Tillering.Rice_herb   0.268 0.113 0.073 0.092 0.187 0.260 0.340 0.463
p.LC1_2019.Tillering.Tour_herb   0.152 0.100 0.005 0.010 0.069 0.146 0.226 0.318
p.LC1_2019.Flowering.Detritivore 0.013 0.014 0.001 0.002 0.005 0.009 0.016 0.040
p.LC1_2019.Flowering.Predator    0.109 0.081 0.011 0.017 0.049 0.089 0.152 0.270
p.LC1_2019.Flowering.Rice_herb   0.771 0.117 0.502 0.557 0.703 0.790 0.860 0.925
p.LC1_2019.Flowering.Tour_herb   0.106 0.086 0.007 0.013 0.045 0.085 0.143 0.272
p.LC1_2019.Ripening.Detritivore  0.004 0.006 0.000 0.000 0.001 0.002 0.004 0.013
p.LC1_2019.Ripening.Predator     0.038 0.037 0.002 0.003 0.012 0.027 0.053 0.110
p.LC1_2019.Ripening.Rice_herb    0.907 0.065 0.753 0.790 0.878 0.922 0.952 0.979
p.LC1_2019.Ripening.Tour_herb    0.052 0.050 0.003 0.005 0.019 0.039 0.068 0.143
p.LC2_2018.Tillering.Detritivore 0.474 0.193 0.140 0.180 0.328 0.457 0.611 0.814
p.LC2_2018.Tillering.Predator    0.280 0.187 0.019 0.031 0.120 0.254 0.420 0.624
p.LC2_2018.Tillering.Rice_herb   0.161 0.129 0.017 0.023 0.062 0.125 0.227 0.423
p.LC2_2018.Tillering.Tour_herb   0.084 0.094 0.003 0.004 0.020 0.051 0.113 0.291
p.LC2_2018.Ripening.Detritivore  0.020 0.030 0.001 0.001 0.004 0.009 0.023 0.077
p.LC2_2018.Ripening.Predator     0.065 0.085 0.001 0.002 0.011 0.033 0.086 0.245
p.LC2_2018.Ripening.Rice_herb    0.859 0.123 0.545 0.614 0.805 0.897 0.951 0.983
p.LC2_2018.Ripening.Tour_herb    0.056 0.070 0.002 0.003 0.013 0.032 0.071 0.188
p.LC2_2019.Tillering.Detritivore 0.498 0.119 0.299 0.325 0.410 0.486 0.573 0.709
p.LC2_2019.Tillering.Predator    0.254 0.143 0.026 0.041 0.138 0.245 0.359 0.506
