
#################################################################
# Summary Statistics
#################################################################

DIC = 4922.612

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
Epsilon.1                        0.202 0.039 0.138 0.146 0.174 0.198 0.227 0.274
Epsilon.2                        0.217 0.036 0.158 0.165 0.192 0.212 0.237 0.285
p.GC_2017.Tillering.Detritivore  0.522 0.111 0.330 0.354 0.437 0.515 0.601 0.715
p.GC_2017.Tillering.Predator     0.054 0.044 0.001 0.002 0.020 0.046 0.080 0.137
p.GC_2017.Tillering.Rice_herb    0.205 0.054 0.110 0.123 0.166 0.201 0.240 0.298
p.GC_2017.Tillering.Tour_herb    0.219 0.090 0.057 0.073 0.148 0.224 0.285 0.361
p.GC_2017.Flowering.Detritivore  0.062 0.031 0.016 0.021 0.039 0.057 0.080 0.122
p.GC_2017.Flowering.Predator     0.027 0.025 0.001 0.002 0.009 0.020 0.037 0.075
p.GC_2017.Flowering.Rice_herb    0.715 0.075 0.551 0.580 0.667 0.722 0.770 0.825
p.GC_2017.Flowering.Tour_herb    0.196 0.070 0.080 0.095 0.146 0.190 0.239 0.322
p.GC_2017.Ripening.Detritivore   0.049 0.038 0.004 0.006 0.021 0.040 0.068 0.122
p.GC_2017.Ripening.Predator      0.018 0.024 0.000 0.001 0.003 0.009 0.022 0.063
p.GC_2017.Ripening.Rice_herb     0.833 0.064 0.686 0.719 0.795 0.840 0.881 0.924
p.GC_2017.Ripening.Tour_herb     0.100 0.048 0.031 0.037 0.066 0.092 0.126 0.190
p.GO_2017.Tillering.Detritivore  0.249 0.166 0.046 0.060 0.127 0.206 0.326 0.609
p.GO_2017.Tillering.Predator     0.074 0.090 0.001 0.001 0.013 0.040 0.101 0.272
p.GO_2017.Tillering.Rice_herb    0.362 0.158 0.080 0.111 0.247 0.360 0.470 0.631
p.GO_2017.Tillering.Tour_herb    0.314 0.144 0.042 0.069 0.217 0.315 0.406 0.549
p.GO_2017.Flowering.Detritivore  0.023 0.030 0.002 0.003 0.007 0.014 0.027 0.081
p.GO_2017.Flowering.Predator     0.026 0.039 0.000 0.001 0.004 0.011 0.031 0.097
p.GO_2017.Flowering.Rice_herb    0.755 0.136 0.404 0.484 0.689 0.779 0.852 0.924
p.GO_2017.Flowering.Tour_herb    0.196 0.120 0.031 0.049 0.112 0.172 0.250 0.432
p.LC1_2018.Tillering.Detritivore 0.717 0.193 0.308 0.372 0.579 0.752 0.886 0.962
p.LC1_2018.Tillering.Predator    0.041 0.057 0.000 0.001 0.005 0.019 0.051 0.161
p.LC1_2018.Tillering.Rice_herb   0.069 0.078 0.005 0.007 0.017 0.038 0.088 0.244
p.LC1_2018.Tillering.Tour_herb   0.173 0.144 0.007 0.013 0.055 0.139 0.258 0.448
p.LC1_2018.Flowering.Detritivore 0.261 0.201 0.018 0.028 0.083 0.214 0.413 0.635
p.LC1_2018.Flowering.Predator    0.041 0.053 0.001 0.001 0.007 0.020 0.053 0.149
p.LC1_2018.Flowering.Rice_herb   0.392 0.212 0.083 0.107 0.227 0.353 0.530 0.807
p.LC1_2018.Flowering.Tour_herb   0.306 0.188 0.034 0.053 0.154 0.277 0.434 0.661
p.LC1_2019.Tillering.Detritivore 0.136 0.078 0.028 0.038 0.080 0.124 0.179 0.281
p.LC1_2019.Tillering.Predator    0.138 0.139 0.001 0.001 0.019 0.087 0.225 0.413
p.LC1_2019.Tillering.Rice_herb   0.440 0.124 0.175 0.216 0.358 0.450 0.527 0.630
p.LC1_2019.Tillering.Tour_herb   0.286 0.083 0.129 0.157 0.229 0.285 0.340 0.428
p.LC1_2019.Flowering.Detritivore 0.009 0.008 0.001 0.002 0.004 0.007 0.011 0.022
p.LC1_2019.Flowering.Predator    0.043 0.065 0.000 0.001 0.005 0.018 0.055 0.169
p.LC1_2019.Flowering.Rice_herb   0.797 0.105 0.543 0.592 0.745 0.819 0.872 0.922
p.LC1_2019.Flowering.Tour_herb   0.151 0.074 0.045 0.056 0.096 0.137 0.191 0.288
p.LC1_2019.Ripening.Detritivore  0.007 0.007 0.000 0.001 0.002 0.004 0.009 0.020
p.LC1_2019.Ripening.Predator     0.027 0.049 0.000 0.000 0.002 0.008 0.028 0.122
p.LC1_2019.Ripening.Rice_herb    0.892 0.073 0.703 0.754 0.866 0.912 0.941 0.968
p.LC1_2019.Ripening.Tour_herb    0.075 0.046 0.017 0.023 0.042 0.064 0.097 0.165
p.LC2_2018.Tillering.Detritivore 0.509 0.198 0.134 0.191 0.362 0.501 0.650 0.842
p.LC2_2018.Tillering.Predator    0.076 0.099 0.000 0.001 0.010 0.035 0.099 0.297
p.LC2_2018.Tillering.Rice_herb   0.238 0.156 0.022 0.033 0.111 0.211 0.336 0.531
p.LC2_2018.Tillering.Tour_herb   0.178 0.135 0.014 0.022 0.078 0.149 0.237 0.441
p.LC2_2019.Tillering.Detritivore 0.378 0.114 0.185 0.213 0.296 0.368 0.452 0.576
p.LC2_2019.Tillering.Predator    0.191 0.202 0.001 0.001 0.019 0.103 0.339 0.582
p.LC2_2019.Tillering.Rice_herb   0.330 0.151 0.041 0.062 0.219 0.348 0.439 0.559
p.LC2_2019.Tillering.Tour_herb   0.101 0.064 0.014 0.020 0.053 0.088 0.136 0.226
p.LC2_2019.Flowering.Detritivore 0.037 0.027 0.007 0.009 0.019 0.030 0.046 0.088
p.LC2_2019.Flowering.Predator    0.101 0.155 0.000 0.001 0.006 0.029 0.123 0.469
p.LC2_2019.Flowering.Rice_herb   0.789 0.173 0.291 0.404 0.737 0.851 0.906 0.951
p.LC2_2019.Flowering.Tour_herb   0.073 0.052 0.011 0.014 0.036 0.061 0.097 0.176
p.LC3_2018.Tillering.Detritivore 0.286 0.144 0.063 0.088 0.185 0.266 0.363 0.555
p.LC3_2018.Tillering.Predator    0.123 0.165 0.000 0.001 0.012 0.049 0.167 0.515
p.LC3_2018.Tillering.Rice_herb   0.467 0.171 0.090 0.149 0.363 0.480 0.585 0.732
p.LC3_2018.Tillering.Tour_herb   0.123 0.092 0.015 0.021 0.057 0.101 0.166 0.300
p.LC3_2019.Tillering.Detritivore 0.678 0.089 0.514 0.535 0.614 0.676 0.739 0.829
p.LC3_2019.Tillering.Predator    0.040 0.048 0.000 0.001 0.007 0.022 0.054 0.140
p.LC3_2019.Tillering.Rice_herb   0.239 0.082 0.090 0.108 0.178 0.239 0.298 0.375
p.LC3_2019.Tillering.Tour_herb   0.043 0.030 0.006 0.008 0.021 0.037 0.057 0.103
p.LC3_2019.Flowering.Detritivore 0.087 0.049 0.023 0.028 0.052 0.078 0.111 0.181
p.LC3_2019.Flowering.Predator    0.022 0.032 0.000 0.001 0.004 0.010 0.027 0.083
p.LC3_2019.Flowering.Rice_herb   0.847 0.074 0.670 0.702 0.807 0.860 0.900 0.941
p.LC3_2019.Flowering.Tour_herb   0.044 0.034 0.006 0.008 0.020 0.035 0.059 0.110
p.LC3_2019.Ripening.Detritivore  0.064 0.053 0.005 0.007 0.025 0.050 0.088 0.166
p.LC3_2019.Ripening.Predator     0.014 0.028 0.000 0.000 0.001 0.004 0.013 0.061
p.LC3_2019.Ripening.Rice_herb    0.901 0.066 0.733 0.775 0.868 0.918 0.949 0.978
p.LC3_2019.Ripening.Tour_herb    0.021 0.018 0.002 0.003 0.008 0.015 0.027 0.058
p.LO1_2018.Tillering.Detritivore 0.445 0.192 0.112 0.149 0.301 0.431 0.575 0.793
