"d13C","d15N","Farm","Stage"
-23.93,8.24,"MO_2017","Tillering"
-24.18,7.86,"MO_2017","Tillering"
-23.65,9.22,"MC_2017","Tillering"
-23.4,9.32,"MC_2017","Tillering"
-23.6,8.57,"MC_2017","Tillering"
-22.64,8.26,"GO_2017","Tillering"
-24.25,7.5,"GO_2017","Tillering"
-23.69,8.23,"GO_2017","Tillering"
-21.42,9.09,"GC_2017","Tillering"
-21.01,9.03,"GC_2017","Tillering"
-20.97,9.01,"GC_2017","Tillering"
-23.96,9.49,"OO_2017","Tillering"
-24.7,12.52,"OO_2017","Tillering"
-23.67,10.27,"OO_2017","Tillering"
-24.86,10.6,"OC_2017","Tillering"
-25.19,10.24,"OC_2017","Tillering"
-24.85,10.49,"OC_2017","Tillering"
-22.55,6.04,"MO_2017","Flowering"
-23.47,7,"MO_2017","Flowering"
-20.1,7.46,"MO_2017","Flowering"
-23.61,7.57,"MO_2017","Flowering"
-27.31,8.39,"MC_2017","Flowering"
-26.93,8.05,"MC_2017","Flowering"
-24.29,6.93,"MC_2017","Flowering"
-27.69,7.67,"MC_2017","Flowering"
-25.33,6.58,"GO_2017","Flowering"
-26.68,7.29,"GO_2017","Flowering"
-27.75,6.56,"GO_2017","Flowering"
-28.68,5.89,"GO_2017","Flowering"
-27.26,7.08,"GO_2017","Flowering"
-26.28,6.1,"GO_2017","Flowering"
-25.97,7.56,"GC_2017","Flowering"
-24.89,8.08,"OO_2017","Flowering"
-28.34,8.24,"OC_2017","Flowering"
-26.08,8.21,"OC_2017","Flowering"
-22.42,7.58,"MO_2017","Ripening"
-23.87,6.78,"MO_2017","Ripening"
-25.88,7.78,"MO_2017","Ripening"
-27.98,7.2,"MC_2017","Ripening"
-21.65,8.77,"MC_2017","Ripening"
-25.06,8.49,"MC_2017","Ripening"
-25.52,9.4,"MC_2017","Ripening"
-26.79,6.66,"MC_2017","Ripening"
-27.78,8.63,"MC_2017","Ripening"
-26.38,9.18,"MC_2017","Ripening"
-26.46,7.4,"MC_2017","Ripening"
-25.94,8.99,"MC_2017","Ripening"
-25.42,7.95,"MC_2017","Ripening"
-21.63,7.24,"MC_2017","Ripening"
-25.51,6.3,"GO_2017","Ripening"
-26.18,5.93,"GO_2017","Ripening"
-26.45,7.41,"GC_2017","Ripening"
-26.2,6.34,"GC_2017","Ripening"
-27.13,8.11,"OO_2017","Ripening"
-26.5,8.51,"OO_2017","Ripening"
-25.02,8.6,"OC_2017","Ripening"
-25.02,8.98,"OC_2017","Ripening"
-24.7552922119169,8.49697826112894,"MO1_2018","Tillering"
-19.001788796825,8.37753103360361,"MO2_2018","Tillering"
-25.0327850331691,9.76014834099899,"MO2_2018","Tillering"
-23.1475330387609,8.97975358597969,"MO3_2018","Tillering"
-22.6628074212594,9.69255817235238,"MO3_2018","Tillering"
-25.538264499583,6.6062512595289,"MC1_2018","Tillering"
-24.0107846487589,7.35951007659132,"MC1_2018","Tillering"
-27.6619288029658,7.52232641169486,"MC1_2018","Tillering"
-23.4330396875506,8.8190474264936,"LO1_2018","Tillering"
-22.5260995981598,9.46062348383908,"LO1_2018","Tillering"
-23.4198966442939,7.72442207698104,"LO1_2018","Tillering"
-22.7640289542808,9.52068778945678,"LC1_2018","Tillering"
-24.9018792202312,8.80241411471313,"LC1_2018","Tillering"
-23.0049088828256,9.99243241987374,"LC1_2018","Tillering"
-26.0188501341926,5.8097928650298,"MC2_2018","Tillering"
-25.6888005507886,7.24344808384767,"MC2_2018","Tillering"
-25.8044197571757,6.7236780662816,"MC2_2018","Tillering"
-23.7332635449342,8.80944626431344,"MC3_2018","Tillering"
-23.1170561432426,9.24020154485586,"MC3_2018","Tillering"
-23.7810848303642,8.45086854249415,"MC3_2018","Tillering"
-23.540968060308,9.2788215998111,"LO2_2018","Tillering"
-24.03958390126,9.09482163885372,"LO2_2018","Tillering"
-24.5018092494186,8.77530847693006,"LO2_2018","Tillering"
-23.9898584221411,8.2106542851329,"LO2_2018","Tillering"
-24.835907859271,8.47559065138178,"LO3_2018","Tillering"
-22.8305587118339,10.564808920621,"LO3_2018","Tillering"
-23.9475658343747,9.08223963025926,"LO3_2018","Tillering"
-24.2577028904864,7.87983007055312,"LC2_2018","Tillering"
-24.2395469788384,9.56583948298132,"LC2_2018","Tillering"
-25.4831751413227,10.9330214213604,"SO1_2018","Tillering"
-24.1097809233475,12.6278354773266,"SO1_2018","Tillering"
-27.7925462885596,7.07670575174387,"LC3_2018","Tillering"
-25.3859525811065,7.86116176203652,"LC3_2018","Tillering"
-25.8903437383223,8.67077310759588,"LC3_2018","Tillering"
-25.0454689468354,8.76403017095019,"LC3_2018","Tillering"
-25.1218906275516,7.90431048685351,"SC1_2018","Tillering"
-24.2572933401869,8.12150700220935,"SC1_2018","Tillering"
-23.7239975009259,7.99584805386403,"SC1_2018","Tillering"
-23.9052157878806,6.81026359426245,"SC1_2018","Tillering"
-24.5004372488954,11.2041757418294,"MO1_2018","Flowering"
-23.9786355752631,8.24190194383698,"MO1_2018","Flowering"
-23.697474541051,9.02476466062154,"MO1_2018","Flowering"
-26.9109802634914,6.35146020329263,"MC2_2018","Flowering"
-25.7943619185067,7.50683185836468,"MC3_2018","Flowering"
-29.3092882849243,4.8203577401143,"MC1_2018","Flowering"
-25.2282919991116,6.17256045026063,"MC1_2018","Flowering"
-26.0011386905382,6.94872505829689,"MC1_2018","Flowering"
-23.2622223199358,8.14159676897414,"MC1_2018","Flowering"
-24.7907602338982,6.57918433454048,"MO2_2018","Flowering"
-24.0113315633284,9.33961426768758,"MO2_2018","Flowering"
-24.2351523205149,6.6621873015158,"LO1_2018","Flowering"
-26.9208540103701,7.70403764369824,"SO1_2018","Flowering"
-27.5188311114653,6.3088789331544,"SO1_2018","Flowering"
-27.8122119313811,5.48341711037371,"LC3_2018","Flowering"
-27.1665525873221,7.60206826845569,"LO2_2018","Flowering"
-23.1776275853284,10.0208363481915,"LC1_2018","Flowering"
-24.8450226426656,7.68169694695198,"SC1_2018","Flowering"
-25.1931653808381,6.48152250121589,"MO1_2018","Ripening"
-27.101613334402,7.67081600430308,"MC1_2018","Ripening"
-26.0066691580842,7.46734593340497,"MC3_2018","Ripening"
-24.3529795949732,6.71367491602002,"LO1_2018","Ripening"
-28.5887797437011,7.46674131654042,"LO2_2018","Ripening"
-26.244881808873,9.3394032512856,"LO3_2018","Ripening"
