"Source","d13C","d15N","Concd13C","Concd15N","Farm"
"Rice_herb",-24.59,7.78,50.88,9.57,"MO_2017"
"Rice_herb",-24.29,5.24,49.62,10.94,"MO_2017"
"Rice_herb",-26.58,7.87,51.42,10.59,"MO_2017"
"Rice_herb",-28.4,8.88,44.89,9.82,"MO_2017"
"Rice_herb",-25.3,6,49.62,10.88,"MO_2017"
"Rice_herb",-27.89,7.44,51.77,9.61,"MO_2017"
"Rice_herb",-26.23,7.49,51.52,9.92,"MO_2017"
"Rice_herb",-13.51,8.34,48.87,11.64,"MC_2017"
"Rice_herb",-26.53,4.38,52.57,10.55,"MC_2017"
"Rice_herb",-23.3,3.22,53.16,9.69,"MC_2017"
"Rice_herb",-28.82,6.91,52.69,9.67,"MC_2017"
"Rice_herb",-28.76,2.65,52.53,10.25,"GC_2017"
"Rice_herb",-28.9,5.25,55.81,9.02,"GC_2017"
"Rice_herb",-28.63,3.76,52.15,10.11,"GC_2017"
"Rice_herb",-28.5,9.79,49.94,10.88,"MO_2017"
"Rice_herb",-29.65,8.95,54.47,9.01,"MO_2017"
"Rice_herb",-29.52,9.58,53.72,9.52,"MO_2017"
"Rice_herb",-29.51,9.02,53.68,8.97,"MO_2017"
"Rice_herb",-16.43,4.69,53.25,10.32,"MO_2017"
"Rice_herb",-24.58,6.89,50.5,10.5,"MO_2017"
"Rice_herb",-25.85,9.05,50.32,11.51,"MO_2017"
"Rice_herb",-29,7.9,47.48,8.78,"MO_2017"
"Rice_herb",-30.67,7.04,46.4,7.45,"MC_2017"
"Rice_herb",-30.86,6.63,51.2,8.31,"MC_2017"
"Rice_herb",-31.22,6.98,49.91,8.82,"MC_2017"
"Rice_herb",-30.42,6.63,49.55,7.24,"MC_2017"
"Rice_herb",-29.31,6.9,48.76,11.04,"MC_2017"
"Rice_herb",-23.47,4.85,51.78,10.14,"MC_2017"
"Rice_herb",-29.02,6.96,49.81,11.23,"MC_2017"
"Rice_herb",-29.68,4.94,54.34,9.19,"MC_2017"
"Rice_herb",-29.54,5.26,50.37,10.34,"MC_2017"
"Rice_herb",-30.68,6.33,56.47,7.63,"MC_2017"
"Rice_herb",-20.65,2.67,50.29,10.68,"MC_2017"
"Rice_herb",-17.07,3.88,49.66,10.83,"MC_2017"
"Rice_herb",-29.67,6.42,53.63,9.55,"GO_2017"
"Rice_herb",-24.72,4.35,53.19,9.18,"GO_2017"
"Rice_herb",-28.89,5.41,54.41,9.02,"GO_2017"
"Rice_herb",-28.79,5.53,52.39,10.21,"GO_2017"
"Rice_herb",-28.24,5.72,53.61,9.59,"GO_2017"
"Rice_herb",-28.06,5.6,52.23,10.31,"GO_2017"
"Rice_herb",-29.82,7.48,48.43,8.67,"GO_2017"
"Rice_herb",-28.84,2.12,51.69,9.76,"GC_2017"
"Rice_herb",-29.03,2.11,51.32,9.73,"GC_2017"
"Rice_herb",-28.85,1.8,52.33,9.52,"GC_2017"
"Rice_herb",-29,1.64,28.6,5.03,"GC_2017"
"Rice_herb",-29.67,6.68,52.07,10.14,"GC_2017"
"Rice_herb",-28.98,2.71,52.58,8.69,"GC_2017"
"Rice_herb",-29.11,2.9,52.88,9.37,"GC_2017"
"Rice_herb",-29.49,3.47,53.9,8.93,"GC_2017"
"Rice_herb",-28.75,2.81,52.87,8.85,"GC_2017"
"Rice_herb",-25.13,9.79,52.68,9.83,"OO_2017"
"Rice_herb",-29.79,5.94,53.41,8.49,"OC_2017"
"Rice_herb",-29.92,5.8,54.17,8.93,"OC_2017"
