
#################################################################
# Summary Statistics
#################################################################

DIC = 4782.265

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
Epsilon.1                        0.689 0.383 0.150 0.167 0.285 0.768 0.979 1.288
Epsilon.2                        0.872 0.189 0.539 0.589 0.744 0.855 0.984 1.205
p.GC_2017.Flowering.Detritivore  0.166 0.093 0.023 0.035 0.096 0.153 0.223 0.337
p.GC_2017.Flowering.Rice_herb    0.506 0.335 0.007 0.015 0.119 0.668 0.797 0.894
p.GC_2017.Flowering.Tour_herb    0.329 0.374 0.001 0.001 0.010 0.055 0.755 0.909
p.GC_2017.Ripening.Detritivore   0.069 0.057 0.004 0.007 0.026 0.055 0.096 0.180
p.GC_2017.Ripening.Rice_herb     0.563 0.414 0.002 0.004 0.061 0.839 0.924 0.970
p.GC_2017.Ripening.Tour_herb     0.368 0.436 0.000 0.000 0.004 0.022 0.895 0.973
p.GO_2017.Ripening.Detritivore   0.086 0.096 0.001 0.003 0.015 0.047 0.126 0.281
p.GO_2017.Ripening.Rice_herb     0.555 0.404 0.001 0.003 0.060 0.756 0.928 0.987
p.GO_2017.Ripening.Tour_herb     0.360 0.423 0.000 0.000 0.003 0.030 0.862 0.985
p.LC1_2018.Tillering.Detritivore 0.267 0.205 0.009 0.017 0.105 0.222 0.385 0.674
p.LC1_2018.Tillering.Rice_herb   0.416 0.335 0.001 0.003 0.045 0.431 0.730 0.915
p.LC1_2018.Tillering.Tour_herb   0.317 0.370 0.000 0.000 0.005 0.057 0.696 0.956
p.LC1_2018.Ripening.Detritivore  0.052 0.060 0.001 0.002 0.012 0.033 0.069 0.177
p.LC1_2018.Ripening.Rice_herb    0.594 0.416 0.001 0.003 0.074 0.860 0.958 0.990
p.LC1_2018.Ripening.Tour_herb    0.354 0.423 0.000 0.000 0.002 0.024 0.863 0.985
p.LC1_2019.Tillering.Detritivore 0.243 0.191 0.007 0.014 0.088 0.203 0.355 0.618
p.LC1_2019.Tillering.Rice_herb   0.427 0.342 0.001 0.002 0.041 0.464 0.738 0.927
p.LC1_2019.Tillering.Tour_herb   0.330 0.382 0.000 0.000 0.005 0.061 0.745 0.965
p.LC1_2019.Flowering.Detritivore 0.111 0.106 0.006 0.009 0.037 0.079 0.150 0.332
p.LC1_2019.Flowering.Rice_herb   0.563 0.372 0.002 0.007 0.123 0.744 0.895 0.969
p.LC1_2019.Flowering.Tour_herb   0.326 0.381 0.000 0.000 0.006 0.058 0.742 0.955
p.LC1_2019.Ripening.Detritivore  0.045 0.058 0.001 0.002 0.011 0.027 0.059 0.147
p.LC1_2019.Ripening.Rice_herb    0.594 0.426 0.001 0.003 0.057 0.885 0.963 0.990
p.LC1_2019.Ripening.Tour_herb    0.361 0.433 0.000 0.000 0.002 0.023 0.894 0.988
p.LC2_2018.Ripening.Detritivore  0.100 0.125 0.001 0.003 0.015 0.051 0.140 0.357
p.LC2_2018.Ripening.Rice_herb    0.549 0.399 0.001 0.003 0.065 0.729 0.924 0.988
p.LC2_2018.Ripening.Tour_herb    0.351 0.417 0.000 0.000 0.003 0.032 0.851 0.986
p.LC2_2019.Tillering.Detritivore 0.444 0.269 0.008 0.018 0.209 0.472 0.659 0.863
p.LC2_2019.Tillering.Rice_herb   0.268 0.257 0.001 0.002 0.035 0.198 0.438 0.783
p.LC2_2019.Tillering.Tour_herb   0.288 0.356 0.000 0.000 0.005 0.048 0.599 0.958
p.LC2_2019.Flowering.Detritivore 0.249 0.190 0.009 0.015 0.095 0.213 0.359 0.622
p.LC2_2019.Flowering.Rice_herb   0.444 0.314 0.003 0.007 0.109 0.482 0.723 0.909
p.LC2_2019.Flowering.Tour_herb   0.306 0.358 0.000 0.001 0.008 0.061 0.661 0.938
p.LC3_2018.Tillering.Detritivore 0.282 0.189 0.009 0.020 0.130 0.263 0.400 0.621
p.LC3_2018.Tillering.Rice_herb   0.408 0.319 0.001 0.003 0.049 0.452 0.685 0.886
p.LC3_2018.Tillering.Tour_herb   0.310 0.363 0.000 0.000 0.005 0.054 0.667 0.949
p.LC3_2018.Flowering.Detritivore 0.131 0.108 0.008 0.013 0.052 0.104 0.180 0.353
p.LC3_2018.Flowering.Rice_herb   0.558 0.357 0.003 0.008 0.151 0.714 0.873 0.958
p.LC3_2018.Flowering.Tour_herb   0.310 0.364 0.000 0.000 0.007 0.059 0.699 0.941
p.LC3_2018.Ripening.Detritivore  0.054 0.057 0.002 0.003 0.015 0.035 0.073 0.164
p.LC3_2018.Ripening.Rice_herb    0.594 0.415 0.001 0.003 0.073 0.863 0.954 0.987
p.LC3_2018.Ripening.Tour_herb    0.352 0.423 0.000 0.000 0.003 0.024 0.869 0.981
p.LC3_2019.Flowering.Detritivore 0.161 0.145 0.006 0.010 0.048 0.118 0.240 0.450
p.LC3_2019.Flowering.Rice_herb   0.515 0.356 0.002 0.007 0.111 0.614 0.849 0.963
p.LC3_2019.Flowering.Tour_herb   0.324 0.374 0.000 0.001 0.007 0.066 0.722 0.953
p.LC3_2019.Ripening.Detritivore  0.070 0.083 0.001 0.003 0.014 0.041 0.096 0.235
p.LC3_2019.Ripening.Rice_herb    0.567 0.415 0.001 0.002 0.055 0.811 0.944 0.989
p.LC3_2019.Ripening.Tour_herb    0.363 0.430 0.000 0.000 0.003 0.027 0.888 0.986
p.LO1_2018.Tillering.Detritivore 0.375 0.204 0.011 0.031 0.233 0.376 0.515 0.725
p.LO1_2018.Tillering.Rice_herb   0.337 0.271 0.001 0.003 0.046 0.346 0.562 0.772
p.LO1_2018.Tillering.Tour_herb   0.288 0.332 0.000 0.000 0.008 0.089 0.564 0.941
p.LO1_2018.Flowering.Detritivore 0.194 0.137 0.011 0.021 0.086 0.168 0.272 0.460
