
#################################################################
# Summary Statistics
#################################################################

DIC = 5681.071

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
Epsilon.1                        0.416 0.070 0.291 0.306 0.365 0.413 0.465 0.534
Epsilon.2                        0.526 0.058 0.420 0.435 0.486 0.523 0.563 0.623
p.GC_2017.Tillering.Detritivore  0.514 0.120 0.311 0.333 0.424 0.506 0.601 0.720
p.GC_2017.Tillering.Rice_herb    0.240 0.061 0.135 0.148 0.195 0.235 0.279 0.346
p.GC_2017.Tillering.Tour_herb    0.246 0.110 0.060 0.077 0.157 0.240 0.330 0.428
p.GC_2017.Flowering.Detritivore  0.092 0.042 0.028 0.034 0.061 0.085 0.115 0.173
p.GC_2017.Flowering.Rice_herb    0.798 0.064 0.664 0.685 0.755 0.803 0.845 0.895
p.GC_2017.Flowering.Tour_herb    0.111 0.067 0.023 0.029 0.059 0.095 0.149 0.241
p.GC_2017.Ripening.Detritivore   0.096 0.046 0.017 0.029 0.064 0.090 0.123 0.180
p.GC_2017.Ripening.Rice_herb     0.850 0.049 0.742 0.762 0.821 0.855 0.883 0.921
p.GC_2017.Ripening.Tour_herb     0.054 0.032 0.014 0.018 0.033 0.048 0.068 0.113
p.GO_2017.Tillering.Detritivore  0.283 0.143 0.061 0.086 0.179 0.264 0.369 0.548
p.GO_2017.Tillering.Rice_herb    0.420 0.139 0.176 0.205 0.320 0.410 0.511 0.663
p.GO_2017.Tillering.Tour_herb    0.297 0.149 0.039 0.061 0.183 0.291 0.401 0.554
p.GO_2017.Flowering.Detritivore  0.035 0.028 0.004 0.006 0.015 0.027 0.046 0.092
p.GO_2017.Flowering.Rice_herb    0.874 0.068 0.718 0.749 0.833 0.885 0.925 0.965
p.GO_2017.Flowering.Tour_herb    0.091 0.064 0.009 0.013 0.042 0.077 0.126 0.213
p.GO_2017.Ripening.Detritivore   0.036 0.029 0.003 0.005 0.016 0.028 0.049 0.096
p.GO_2017.Ripening.Rice_herb     0.917 0.046 0.807 0.830 0.891 0.926 0.952 0.976
p.GO_2017.Ripening.Tour_herb     0.047 0.036 0.004 0.007 0.020 0.037 0.063 0.118
p.LC1_2018.Tillering.Detritivore 0.407 0.172 0.098 0.136 0.285 0.400 0.519 0.707
p.LC1_2018.Tillering.Rice_herb   0.343 0.145 0.100 0.125 0.233 0.334 0.440 0.598
p.LC1_2018.Tillering.Tour_herb   0.250 0.182 0.016 0.027 0.097 0.211 0.369 0.603
p.LC1_2018.Flowering.Detritivore 0.063 0.052 0.007 0.011 0.028 0.049 0.082 0.161
