
#################################################################
# Summary Statistics
#################################################################

DIC = 5020.509

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
Epsilon.1                        0.144 0.020 0.110 0.115 0.130 0.142 0.156 0.179
Epsilon.2                        0.344 0.041 0.272 0.282 0.316 0.341 0.370 0.418
p.GC_2017.Tillering.Detritivore  0.469 0.091 0.316 0.338 0.405 0.460 0.522 0.633
p.GC_2017.Tillering.Rice_herb    0.248 0.050 0.163 0.173 0.212 0.245 0.279 0.339
p.GC_2017.Tillering.Tour_herb    0.283 0.074 0.116 0.149 0.241 0.288 0.332 0.397
p.GC_2017.Flowering.Detritivore  0.026 0.018 0.005 0.006 0.013 0.022 0.035 0.062
p.GC_2017.Flowering.Rice_herb    0.829 0.050 0.721 0.742 0.797 0.832 0.864 0.906
p.GC_2017.Flowering.Tour_herb    0.145 0.047 0.066 0.075 0.112 0.142 0.174 0.227
p.GC_2017.Ripening.Detritivore   0.012 0.013 0.001 0.001 0.004 0.008 0.017 0.038
p.GC_2017.Ripening.Rice_herb     0.897 0.039 0.806 0.825 0.872 0.902 0.926 0.953
p.GC_2017.Ripening.Tour_herb     0.091 0.037 0.032 0.039 0.064 0.087 0.113 0.155
p.GO_2017.Tillering.Detritivore  0.256 0.157 0.046 0.062 0.141 0.223 0.335 0.567
p.GO_2017.Tillering.Rice_herb    0.464 0.127 0.215 0.250 0.379 0.466 0.544 0.668
p.GO_2017.Tillering.Tour_herb    0.280 0.107 0.055 0.091 0.210 0.283 0.353 0.455
p.GO_2017.Flowering.Detritivore  0.009 0.010 0.001 0.001 0.003 0.006 0.012 0.030
p.GO_2017.Flowering.Rice_herb    0.905 0.040 0.816 0.832 0.880 0.909 0.934 0.962
p.GO_2017.Flowering.Tour_herb    0.086 0.039 0.022 0.030 0.058 0.082 0.109 0.156
p.GO_2017.Ripening.Detritivore   0.004 0.007 0.000 0.000 0.001 0.002 0.005 0.016
p.GO_2017.Ripening.Rice_herb     0.943 0.030 0.872 0.888 0.927 0.948 0.965 0.982
p.GO_2017.Ripening.Tour_herb     0.052 0.029 0.010 0.014 0.032 0.048 0.068 0.105
p.LC1_2018.Tillering.Detritivore 0.618 0.194 0.227 0.289 0.487 0.617 0.766 0.926
p.LC1_2018.Tillering.Rice_herb   0.120 0.104 0.007 0.011 0.037 0.088 0.179 0.326
p.LC1_2018.Tillering.Tour_herb   0.262 0.152 0.027 0.041 0.152 0.247 0.348 0.535
p.LC1_2018.Flowering.Detritivore 0.112 0.139 0.006 0.008 0.023 0.053 0.138 0.432
p.LC1_2018.Flowering.Rice_herb   0.606 0.222 0.163 0.215 0.428 0.642 0.794 0.906
p.LC1_2018.Flowering.Tour_herb   0.282 0.173 0.040 0.059 0.145 0.249 0.388 0.615
